,Quest_number,Subject_id,Stage,CE
0,3.0,H060_E2,3.0,2.0
1,6.0,H061_E1,2.0,2.0
2,10.0,H061_E1,4.0,2.0
3,6.0,H089_E1,2.0,1.0
4,3.0,H100_E2,2.0,0.0
