epoch training validation
0 [7.6687,21.0071] [2.2511,9.9528]
1 [7.1268,20.7071] [2.2257,9.8433]
2 [7.2067,21.0358] [2.1944,9.7343]
3 [7.7849,20.6231] [2.1664,9.6316]
4 [7.1661,20.4219] [2.1421,9.5335]
5 [7.0068,20.1673] [2.1157,9.4380]
6 [7.2465,20.3460] [2.0915,9.3477]
7 [6.8547,19.8724] [2.0710,9.2491]
8 [7.6436,19.7782] [2.0520,9.1534]
9 [6.7817,20.1761] [2.0352,9.0619]
10 [6.7145,19.7594] [2.0163,8.9739]
11 [7.2431,20.1441] [2.0025,8.8856]
12 [7.1089,19.4464] [1.9881,8.8010]
13 [6.7288,19.4030] [1.9794,8.7154]
14 [7.0640,19.2867] [1.9692,8.6283]
15 [6.7535,19.3536] [1.9628,8.5446]
16 [6.6512,18.6044] [1.9603,8.4668]
17 [6.7158,18.8961] [1.9533,8.3938]
18 [6.4506,19.2540] [1.9454,8.3155]
19 [6.2220,18.5850] [1.9360,8.2334]
20 [6.2282,18.4831] [1.9273,8.1573]
21 [6.5068,18.8172] [1.9258,8.0801]
22 [6.7935,18.5757] [1.9236,8.0144]
23 [6.1862,17.7806] [1.9178,7.9467]
24 [6.2521,18.5362] [1.9145,7.8761]
25 [6.0505,18.3178] [1.9064,7.8031]
26 [6.1212,17.7255] [1.9010,7.7320]
27 [6.3185,18.1828] [1.8981,7.6659]
28 [6.0977,17.6877] [1.8954,7.6042]
29 [5.9716,17.4869] [1.8870,7.5374]
30 [6.2202,17.5252] [1.8848,7.4683]
31 [6.1831,17.5771] [1.8847,7.4009]
32 [5.9902,17.4355] [1.8900,7.3349]
33 [5.7208,17.3981] [1.8850,7.2767]
34 [5.9921,17.2041] [1.8769,7.2153]
35 [5.3544,17.3790] [1.8718,7.1546]
36 [5.7825,17.2059] [1.8629,7.1008]
37 [5.6503,16.2940] [1.8551,7.0423]
38 [5.3627,16.9943] [1.8530,6.9889]
39 [5.4641,16.2358] [1.8538,6.9414]
40 [5.4686,16.3965] [1.8575,6.8866]
41 [5.1436,16.6215] [1.8598,6.8272]
42 [5.4707,17.0455] [1.8604,6.7738]
43 [5.7372,16.5645] [1.8584,6.7196]
44 [5.4316,16.4172] [1.8547,6.6700]
45 [5.4594,16.4779] [1.8543,6.6169]
46 [5.5100,16.4526] [1.8549,6.5623]
47 [5.1519,15.8236] [1.8497,6.5080]
48 [5.5698,15.9418] [1.8484,6.4528]
49 [5.1684,16.0824] [1.8422,6.4108]
50 [5.0123,16.0902] [1.8393,6.3567]
51 [5.1740,16.0960] [1.8348,6.3099]
52 [5.3055,16.0602] [1.8281,6.2620]
53 [5.3468,15.7439] [1.8231,6.2223]
54 [5.2364,15.4667] [1.8209,6.1753]
55 [5.2298,16.0815] [1.8172,6.1263]
56 [5.2379,15.2709] [1.8175,6.0809]
57 [5.0940,15.4206] [1.8141,6.0362]
58 [5.0636,15.5444] [1.8099,5.9913]
59 [4.9129,15.2314] [1.8060,5.9572]
60 [4.8935,15.3249] [1.8023,5.9181]
61 [4.6385,14.9892] [1.7936,5.8731]
62 [4.4906,14.9468] [1.7928,5.8344]
63 [4.9114,15.0389] [1.7877,5.8029]
64 [4.6468,14.8663] [1.7867,5.7678]
65 [4.6254,15.1341] [1.7783,5.7326]
66 [4.5249,14.9327] [1.7746,5.6946]
67 [4.6191,14.6688] [1.7632,5.6651]
68 [4.7342,14.7755] [1.7527,5.6303]
69 [4.7465,14.6553] [1.7480,5.5922]
70 [4.7928,14.5271] [1.7439,5.5558]
71 [4.3110,14.4465] [1.7353,5.5217]
72 [4.3461,14.4143] [1.7288,5.4815]
73 [4.4981,14.3179] [1.7204,5.4541]
74 [4.6114,13.6860] [1.7178,5.4250]
75 [4.5800,14.6272] [1.7116,5.3909]
76 [4.6528,14.1310] [1.7056,5.3577]
77 [4.5749,13.9957] [1.6987,5.3302]
78 [4.4271,14.0897] [1.6929,5.3013]
79 [4.3833,14.0033] [1.6826,5.2709]
80 [4.3282,14.3559] [1.6741,5.2403]
81 [4.1828,14.2898] [1.6706,5.2143]
82 [4.1920,13.7749] [1.6671,5.1896]
83 [4.3102,13.6797] [1.6582,5.1641]
84 [4.3186,13.7721] [1.6530,5.1409]
85 [4.2323,13.5180] [1.6435,5.1159]
86 [4.2133,13.2568] [1.6387,5.0983]
87 [4.1993,13.3335] [1.6308,5.0759]
88 [4.0880,14.1399] [1.6205,5.0509]
89 [3.9746,13.0440] [1.6152,5.0286]
90 [4.2452,13.3336] [1.6083,5.0084]
91 [4.1574,13.1393] [1.6026,4.9853]
92 [3.9816,12.9647] [1.5964,4.9571]
93 [3.8724,13.1462] [1.5900,4.9363]
94 [4.0589,12.9119] [1.5777,4.9194]
95 [3.8925,12.8143] [1.5672,4.8970]
96 [3.6638,12.4399] [1.5639,4.8744]
97 [3.7786,13.0562] [1.5533,4.8565]
98 [4.0105,12.8501] [1.5433,4.8336]
99 [3.8898,13.1454] [1.5383,4.8150]
