epoch training validation
0 [0.7637,1.9906] [0.8019,2.0555]
1 [0.6531,2.1263] [0.6727,2.1054]
2 [0.6379,2.7368] [0.6480,2.3500]
3 [0.6322,4.4429] [0.6163,4.4377]
4 [0.6315,8.9713] [0.5955,15.4363]
5 [0.6328,17.9997] [0.6258,39.5373]
6 [0.6369,37.6736] [0.5919,78.9285]
7 [0.6426,69.3275] [0.6158,124.8229]
8 [0.6709,102.3669] [0.6261,166.1267]
9 [0.6875,129.9216] [0.6149,197.7025]
10 [0.7120,149.9985] [0.7766,218.2582]
11 [0.7295,162.4786] [0.9426,228.1945]
12 [0.7901,167.2011] [0.8832,227.5210]
13 [0.7490,165.2261] [0.6532,219.3504]
14 [0.7515,158.5041] [1.1007,205.4686]
15 [0.7780,147.7402] [0.9950,186.8295]
16 [0.8255,133.7968] [1.1767,164.2708]
17 [0.7976,117.2807] [0.9787,139.5983]
18 [0.8160,99.6289] [0.9059,114.0648]
19 [0.8189,81.6249] [0.7043,88.9770]
20 [0.8623,63.9957] [0.6568,64.7054]
21 [0.8077,55.3874] [1.0967,83.6314]
22 [0.8486,85.7889] [0.6704,137.7607]
23 [0.8114,122.8332] [0.6030,187.6296]
24 [0.8149,157.0996] [0.6850,234.0965]
25 [0.8227,189.1601] [1.1463,277.7457]
26 [0.9026,218.6716] [1.2009,316.6138]
27 [0.9561,244.8851] [0.8692,350.4308]
28 [0.9071,267.5872] [0.8971,379.0180]
29 [0.8986,286.7989] [0.9361,403.0929]
30 [0.9951,302.6780] [0.8394,421.7420]
31 [0.9678,314.9292] [1.2084,435.5004]
32 [0.9791,323.6303] [0.6318,443.9275]
33 [1.0188,328.5703] [1.3086,447.0121]
34 [1.0659,329.1052] [0.9183,444.3119]
35 [1.0012,326.0488] [1.1186,436.8522]
36 [0.9561,320.0106] [1.3908,425.8612]
37 [1.0304,311.3301] [1.2873,411.2866]
38 [1.0884,299.7644] [0.6899,392.7618]
39 [1.0037,285.9061] [0.5798,372.2266]
40 [1.1100,270.5254] [0.8547,349.0087]
41 [1.0595,253.2801] [0.7454,324.1194]
42 [1.1513,234.7430] [0.6008,297.7683]
43 [1.0806,215.2950] [0.6047,270.8640]
44 [1.0240,195.8353] [0.6917,244.2593]
45 [0.9397,176.4967] [0.6589,218.9496]
46 [1.0246,158.4372] [0.6663,195.0905]
47 [1.0111,141.1758] [0.7103,172.9032]
48 [0.9992,125.2188] [0.6346,153.1299]
49 [1.0001,112.8919] [0.5793,139.3015]
50 [0.9312,103.3966] [0.5922,129.8037]
51 [0.9988,102.4938] [0.5806,136.3625]
52 [1.0503,108.8111] [0.5844,147.2516]
53 [1.0507,117.6704] [0.7923,159.7161]
54 [1.0766,126.4587] [0.6598,172.5708]
55 [1.0980,135.8526] [0.5829,186.0376]
56 [1.1238,145.3168] [0.6287,199.2614]
57 [1.1476,153.9319] [1.1921,210.7459]
58 [1.2481,161.4100] [0.6887,220.2000]
59 [1.2093,167.7482] [0.6440,228.4705]
60 [1.2205,173.1013] [0.6300,235.6820]
61 [1.1208,177.8491] [0.5891,242.3338]
62 [1.1538,182.8556] [0.5867,249.8328]
63 [1.1160,188.4979] [0.7198,258.1794]
64 [1.2114,194.5107] [1.5491,266.7378]
65 [1.2697,200.0472] [0.6873,273.9720]
66 [1.2478,204.3593] [0.6489,279.6574]
67 [1.1861,208.5673] [1.2295,285.6396]
68 [1.2445,212.5405] [0.6975,291.2125]
69 [1.1380,215.7974] [0.6147,296.2603]
70 [1.1760,219.2573] [0.5879,301.5483]
71 [1.0777,222.4398] [0.5874,307.2636]
72 [1.0733,225.8112] [0.6566,313.1086]
73 [1.1069,228.8851] [0.5913,318.1793]
74 [1.1588,231.3353] [0.6035,321.8672]
75 [1.1494,232.6813] [0.5909,324.2899]
76 [1.0747,233.0952] [0.5912,325.4238]
77 [1.1630,232.7267] [1.0346,324.7518]
78 [1.0720,230.8017] [0.6870,322.1525]
79 [1.0834,228.1203] [0.6064,318.1728]
80 [1.0111,224.5310] [0.5741,313.4392]
81 [0.9815,220.8888] [0.5686,308.6249]
82 [0.9995,217.0159] [0.5654,303.2021]
83 [0.9798,212.8683] [0.5631,297.5444]
84 [0.9480,208.7000] [0.6082,291.5826]
85 [0.9157,204.1821] [0.6325,285.2781]
86 [0.9494,199.7321] [0.5664,278.8602]
87 [0.9272,195.1541] [0.7042,272.1224]
88 [0.8616,190.2983] [0.5411,265.3131]
89 [0.8814,185.4971] [0.5596,258.7414]
90 [0.8196,180.8978] [0.5616,252.1796]
91 [0.8513,176.1971] [0.5379,245.7459]
92 [0.8679,171.5019] [0.5281,239.2045]
93 [0.8103,166.7873] [0.6287,232.3493]
94 [0.7466,161.7401] [0.5211,225.4479]
95 [0.7673,156.9820] [0.5641,218.9581]
96 [0.7555,152.2161] [0.5124,212.3576]
97 [0.7693,147.1848] [0.6775,205.5552]
98 [0.7317,142.1384] [0.5998,198.4729]
99 [0.7267,136.8660] [0.9184,191.5633]
100 [0.6969,131.8667] [0.7227,184.8000]
101 [0.7029,126.9559] [1.0041,178.3474]
102 [0.6991,122.1042] [0.7382,172.1075]
103 [0.7018,117.4841] [0.5470,165.9483]
104 [0.6887,112.8013] [0.9731,159.8131]
105 [0.6576,108.2096] [1.2172,153.8038]
106 [0.6468,103.6971] [1.0095,148.0985]
107 [0.6167,99.4558] [0.9826,142.6776]
108 [0.6246,95.4690] [1.1454,137.4081]
109 [0.6171,91.4481] [1.5335,132.3290]
110 [0.6132,87.7040] [1.6069,127.4025]
111 [0.6100,84.0436] [1.4479,122.4772]
112 [0.6101,80.4200] [1.5747,117.5038]
113 [0.5943,76.8878] [1.8313,112.6164]
114 [0.5780,73.4213] [2.0849,107.7628]
115 [0.5778,69.9887] [2.0044,102.9181]
116 [0.5934,66.5302] [1.8277,97.9886]
117 [0.5623,63.0444] [2.2767,93.0034]
118 [0.5755,59.4946] [2.3887,87.9718]
119 [0.5394,55.8370] [1.9465,82.8602]
120 [0.5765,52.1812] [2.1108,77.7068]
121 [0.5626,48.4250] [2.4050,72.4513]
122 [0.5739,44.5590] [2.2550,67.0376]
123 [0.5295,40.6844] [2.4238,61.6674]
124 [0.5470,38.0357] [2.5598,58.3769]
125 [0.5471,41.0788] [2.9121,62.0119]
126 [0.5277,50.2900] [2.9642,74.6493]
127 [0.5791,58.1207] [3.4024,84.2589]
128 [0.5436,64.2674] [3.9147,91.7149]
129 [0.6009,69.1577] [4.6218,97.2338]
130 [0.5644,72.8769] [4.8299,101.3430]
131 [0.5383,75.8117] [5.3252,104.5472]
132 [0.5645,78.0798] [6.0690,106.6857]
133 [0.6169,79.3524] [6.1684,107.8599]
134 [0.5914,80.2249] [6.7878,109.3755]
135 [0.5951,81.0090] [6.5694,113.2787]
136 [0.5611,81.7974] [7.2458,114.0687]
137 [0.5688,82.1125] [7.3519,113.6808]
138 [0.6092,81.8806] [7.6370,112.6544]
139 [0.5863,81.0847] [8.3224,111.2532]
140 [0.5910,79.9025] [8.4992,109.2874]
141 [0.5566,78.2702] [7.9983,106.5310]
