epoch training validation
0 2.0479 1.8931
1 0.3847 0.2890
2 0.2960 0.2706
3 0.2785 0.2575
4 0.2637 0.2433
5 0.2503 0.2264
6 0.2394 0.2188
7 0.2302 0.2073
8 0.2212 0.1938
9 0.2098 0.1828
10 0.2013 0.1760
11 0.1957 0.1707
12 0.1902 0.1653
13 0.1855 0.1617
14 0.1805 0.1535
15 0.1758 0.1494
16 0.1714 0.1446
17 0.1675 0.1401
18 0.1644 0.1384
19 0.1615 0.1346
20 0.1591 0.1323
21 0.1573 0.1319
22 0.1554 0.1296
23 0.1538 0.1295
24 0.1525 0.1272
25 0.1510 0.1259
26 0.1497 0.1243
27 0.1486 0.1266
28 0.1474 0.1238
29 0.1465 0.1218
30 0.1454 0.1208
31 0.1445 0.1201
32 0.1437 0.1193
33 0.1431 0.1180
34 0.1420 0.1175
35 0.1414 0.1164
36 0.1405 0.1165
37 0.1397 0.1148
38 0.1387 0.1149
39 0.1380 0.1140
40 0.1369 0.1146
41 0.1363 0.1122
42 0.1353 0.1109
43 0.1348 0.1106
44 0.1342 0.1099
45 0.1336 0.1106
46 0.1331 0.1091
47 0.1325 0.1083
48 0.1321 0.1077
49 0.1316 0.1081
50 0.1311 0.1072
51 0.1307 0.1059
52 0.1303 0.1066
53 0.1297 0.1055
54 0.1293 0.1050
55 0.1290 0.1044
56 0.1287 0.1044
57 0.1283 0.1041
58 0.1279 0.1034
59 0.1275 0.1046
60 0.1272 0.1026
61 0.1268 0.1048
62 0.1266 0.1029
63 0.1262 0.1022
64 0.1259 0.1026
65 0.1256 0.1016
66 0.1252 0.1011
67 0.1250 0.1012
68 0.1247 0.1007
69 0.1244 0.1010
70 0.1242 0.1010
71 0.1240 0.1009
72 0.1237 0.1003
73 0.1234 0.1003
74 0.1234 0.1000
75 0.1230 0.1014
76 0.1228 0.0990
77 0.1225 0.0984
78 0.1224 0.1011
79 0.1222 0.0992
80 0.1219 0.0992
81 0.1217 0.0981
82 0.1215 0.0981
83 0.1213 0.0977
84 0.1211 0.0972
85 0.1209 0.0974
86 0.1208 0.0971
87 0.1205 0.0967
88 0.1204 0.0974
89 0.1201 0.0973
90 0.1200 0.0966
91 0.1197 0.0969
92 0.1197 0.0960
93 0.1195 0.0968
94 0.1193 0.0959
95 0.1192 0.0953
96 0.1190 0.0965
97 0.1188 0.0955
98 0.1187 0.0951
99 0.1185 0.0953
100 0.1185 0.0961
101 0.1183 0.0953
102 0.1180 0.0949
103 0.1179 0.0948
104 0.1178 0.0947
105 0.1177 0.0942
106 0.1175 0.0945
107 0.1175 0.0937
108 0.1173 0.0943
109 0.1170 0.0940
110 0.1168 0.0939
111 0.1167 0.0935
112 0.1167 0.0935
113 0.1164 0.0941
114 0.1164 0.0934
115 0.1161 0.0929
116 0.1161 0.0928
117 0.1159 0.0934
118 0.1159 0.0925
119 0.1156 0.0932
120 0.1157 0.0918
121 0.1154 0.0922
122 0.1153 0.0923
123 0.1152 0.0927
124 0.1152 0.0920
125 0.1149 0.0919
126 0.1149 0.0927
127 0.1148 0.0932
128 0.1146 0.0915
129 0.1146 0.0913
130 0.1145 0.0920
131 0.1143 0.0919
132 0.1142 0.0929
133 0.1142 0.0921
134 0.1140 0.0919
135 0.1140 0.0922
136 0.1138 0.0917
137 0.1137 0.0911
138 0.1137 0.0910
139 0.1135 0.0916
140 0.1135 0.0911
141 0.1132 0.0919
142 0.1132 0.0904
143 0.1132 0.0907
144 0.1130 0.0901
145 0.1130 0.0908
146 0.1129 0.0905
147 0.1129 0.0904
148 0.1127 0.0899
149 0.1126 0.0905
150 0.1125 0.0896
151 0.1125 0.0897
152 0.1124 0.0902
153 0.1123 0.0912
154 0.1121 0.0894
155 0.1121 0.0899
156 0.1121 0.0899
157 0.1119 0.0902
158 0.1118 0.0895
159 0.1117 0.0896
160 0.1116 0.0898
