epoch training validation
0 [0.7524,2.2588] [0.7227,2.3344]
1 [0.6727,2.2604] [0.6573,2.3076]
2 [0.6428,2.3012] [0.6655,2.2961]
3 [0.6343,2.3602] [0.6749,2.3137]
4 [0.6308,2.4539] [0.6821,2.3806]
5 [0.6297,2.6208] [0.6886,2.5860]
6 [0.6291,2.9726] [0.6961,3.1996]
7 [0.6293,3.8106] [0.7177,5.2842]
8 [0.6309,5.8697] [0.7567,10.3441]
9 [0.6387,9.8313] [0.6989,17.5345]
10 [0.6344,15.2732] [0.6524,25.1145]
11 [0.6372,21.4364] [0.6789,31.6074]
12 [0.6416,26.5667] [0.6852,35.9775]
13 [0.6402,29.9485] [0.6725,38.3963]
14 [0.6362,31.7669] [0.6720,39.2698]
15 [0.6330,32.2313] [0.6620,38.8234]
16 [0.6269,31.6265] [0.6606,37.3709]
17 [0.6222,30.1435] [0.6575,35.0987]
18 [0.6181,28.0437] [0.6487,32.2531]
19 [0.6152,25.4811] [0.6537,29.0114]
20 [0.6083,22.6218] [0.6522,25.5201]
21 [0.6013,19.6208] [0.6471,21.9420]
22 [0.5952,16.5764] [0.6478,18.4113]
23 [0.5863,13.7348] [0.6435,15.3304]
24 [0.5811,11.5378] [0.6468,13.0368]
25 [0.5729,9.7482] [0.6484,11.0456]
26 [0.5606,8.1965] [0.6471,9.4187]
27 [0.5520,7.0550] [0.6524,8.4949]
28 [0.5470,6.6540] [0.6426,8.7648]
29 [0.5344,7.2199] [0.6354,10.2688]
30 [0.5212,8.6338] [0.6211,12.5644]
31 [0.5088,10.5613] [0.6284,15.2454]
32 [0.5001,12.6992] [0.6244,18.0881]
33 [0.4864,14.9143] [0.6096,21.0077]
34 [0.4705,17.2584] [0.6171,24.0697]
35 [0.4586,19.6612] [0.6304,27.1675]
36 [0.4535,22.0582] [0.6381,30.1194]
37 [0.4499,24.2995] [0.6340,32.7776]
38 [0.4315,26.2824] [0.6327,35.0822]
39 [0.4293,28.0146] [0.6516,37.0077]
40 [0.4228,29.3834] [0.6478,38.4011]
41 [0.4235,30.3747] [0.6400,39.3210]
42 [0.4122,30.9762] [0.6539,39.7783]
43 [0.4095,31.2231] [0.6348,39.7651]
44 [0.3913,31.1251] [0.6444,39.3969]
45 [0.3847,30.7593] [0.6565,38.7084]
46 [0.3810,30.1326] [0.6579,37.7026]
47 [0.3798,29.2648] [0.6534,36.4067]
48 [0.3678,28.2014] [0.6704,34.9161]
49 [0.3731,26.9763] [0.6781,33.2229]
50 [0.3644,25.5976] [0.6784,31.3631]
51 [0.3616,24.0892] [0.6631,29.3857]
52 [0.3579,22.5039] [0.6616,27.3409]
53 [0.3484,20.8907] [0.6767,25.2761]
54 [0.3370,19.2468] [0.6781,23.1856]
55 [0.3386,17.6031] [0.6736,21.1208]
56 [0.3407,15.9934] [0.6783,19.1065]
57 [0.3298,14.4069] [0.6857,17.1391]
58 [0.3248,12.8890] [0.6835,15.3049]
59 [0.3192,11.4658] [0.6878,13.5930]
60 [0.3079,10.1709] [0.6961,12.0515]
61 [0.3075,9.0149] [0.7053,10.7008]
62 [0.2969,8.0112] [0.7140,9.5700]
63 [0.3001,7.1556] [0.7205,8.6012]
64 [0.2869,6.4360] [0.7239,7.8540]
