epoch training validation
0 [0.7756,2.0169] [0.8019,2.0555]
1 [0.6464,2.0191] [0.6147,2.0240]
2 [0.6290,2.0443] [0.5960,2.0071]
3 [0.6265,2.0791] [0.5852,2.0038]
4 [0.6235,2.1341] [0.5801,2.0219]
5 [0.6228,2.2088] [0.5763,2.0658]
6 [0.6194,2.3241] [0.5739,2.1746]
7 [0.6181,2.5116] [0.5734,2.4433]
8 [0.6165,2.8639] [0.5812,3.1787]
9 [0.6118,3.7087] [0.6263,5.4772]
10 [0.6042,6.0277] [0.6289,10.8996]
11 [0.6002,10.7621] [0.5483,17.7889]
12 [0.5844,16.8826] [0.5443,24.4647]
13 [0.5731,22.5349] [0.5120,29.2347]
14 [0.5543,26.4037] [0.5093,32.0956]
15 [0.5364,28.5898] [0.4947,33.2712]
16 [0.5182,29.3857] [0.4805,33.2248]
17 [0.4945,29.1302] [0.4712,32.2593]
18 [0.4789,28.1206] [0.4550,30.5578]
19 [0.4595,26.4791] [0.4613,28.2968]
20 [0.4476,24.3846] [0.4707,25.6361]
21 [0.4433,21.9764] [0.4442,22.7038]
22 [0.4250,19.3830] [0.4424,19.6259]
23 [0.4137,16.6782] [0.4663,16.5215]
24 [0.4148,13.9936] [0.4847,13.4701]
25 [0.4129,11.3968] [0.5692,10.5813]
26 [0.4121,9.1900] [0.6401,8.4288]
27 [0.4404,8.0992] [0.6730,7.7689]
28 [0.4481,7.8795] [0.5023,7.6776]
29 [0.4269,7.8989] [0.4385,7.7418]
30 [0.3855,8.0115] [0.4296,7.9087]
31 [0.3829,8.1849] [0.4294,8.1115]
32 [0.3740,8.3745] [0.4174,8.2947]
33 [0.3684,8.5282] [0.4091,8.4415]
34 [0.3724,8.6525] [0.4368,8.5498]
35 [0.3558,8.7428] [0.4211,8.6245]
36 [0.3384,8.8013] [0.4448,8.7095]
37 [0.3502,8.8947] [0.4277,8.8330]
38 [0.3420,9.0281] [0.4345,9.0887]
39 [0.3434,9.3775] [0.4581,9.8936]
40 [0.3473,10.5140] [0.4420,12.2083]
41 [0.3227,13.1434] [0.4500,16.1635]
42 [0.3209,16.9178] [0.4646,21.0596]
43 [0.3199,21.2811] [0.4607,26.4934]
