epoch training validation
0 [0.6952,2.0405] [0.6991,2.0856]
1 [0.6566,2.0440] [0.6153,2.0644]
2 [0.6387,2.0653] [0.6035,2.0585]
3 [0.6361,2.1004] [0.5988,2.0645]
4 [0.6325,2.1445] [0.5954,2.0845]
5 [0.6307,2.2090] [0.5920,2.1294]
6 [0.6273,2.3019] [0.5883,2.2240]
7 [0.6254,2.4482] [0.5857,2.4094]
8 [0.6207,2.7145] [0.5808,2.9060]
9 [0.6149,3.3531] [0.5702,4.7552]
10 [0.6059,5.2916] [0.6360,10.4811]
11 [0.5971,9.8106] [0.9922,19.3212]
12 [0.5898,16.1078] [0.9592,27.2284]
13 [0.5801,22.2857] [0.9549,33.2083]
14 [0.5700,26.7380] [0.8991,36.7454]
15 [0.5497,29.3881] [0.8684,38.4845]
16 [0.5348,30.6753] [0.8060,38.9185]
17 [0.5187,30.9209] [0.7976,38.3332]
18 [0.5058,30.2724] [0.7619,36.8127]
19 [0.4938,28.8841] [0.7200,34.6174]
20 [0.4811,26.9917] [0.7174,31.9057]
21 [0.4679,24.6632] [0.6760,28.7960]
22 [0.4605,22.0353] [0.6800,25.4029]
23 [0.4509,19.2153] [0.6809,21.8849]
24 [0.4404,16.3222] [0.6513,18.3557]
25 [0.4276,13.4732] [0.6540,14.9227]
26 [0.4227,10.7529] [0.6516,11.7351]
27 [0.4107,8.4617] [0.6505,9.2632]
28 [0.4049,6.9385] [0.6434,7.7101]
29 [0.3971,5.9048] [0.6529,6.5998]
30 [0.3873,5.1999] [0.6476,5.8954]
31 [0.3819,4.8049] [0.6800,5.5384]
32 [0.3777,4.6461] [0.6622,5.4671]
33 [0.3640,4.6676] [0.6653,5.5817]
34 [0.3570,4.7929] [0.7135,5.7866]
35 [0.3618,4.9352] [0.6947,5.9813]
36 [0.3481,5.1085] [0.6819,6.2319]
37 [0.3467,5.3085] [0.6955,6.5605]
38 [0.3428,5.5904] [0.7511,7.0972]
39 [0.3390,6.1142] [0.7293,8.1530]
40 [0.3276,7.2911] [0.7580,10.4371]
41 [0.3294,9.5747] [0.7827,13.9242]
42 [0.3263,12.6222] [0.7886,17.9839]
43 [0.3132,16.0560] [0.8115,22.4447]
44 [0.3263,19.7233] [0.8773,26.9923]
45 [0.3130,23.3497] [0.8246,31.2769]
46 [0.3070,26.7985] [0.8253,35.2435]
47 [0.3058,29.9240] [0.8776,38.6929]
48 [0.2956,32.5888] [0.8488,41.4292]
49 [0.2962,34.6786] [0.9760,43.5221]
50 [0.2940,36.1642] [0.9505,44.7202]
51 [0.2897,36.9119] [0.8782,45.0615]
52 [0.2858,37.0079] [0.9440,44.7371]
53 [0.2827,36.5289] [0.8669,43.7060]
54 [0.2778,35.4796] [0.9747,42.0404]
55 [0.2773,33.9144] [0.9671,39.8219]
56 [0.2689,31.9355] [0.9345,37.1899]
57 [0.2682,29.6738] [0.9813,34.2711]
58 [0.2598,27.1697] [0.8992,31.1178]
59 [0.2534,24.4904] [0.9613,27.8801]
60 [0.2562,21.8092] [0.8962,24.6548]
61 [0.2415,19.1345] [0.8496,21.4979]
62 [0.2455,16.5548] [0.9177,18.5262]
63 [0.2406,14.1579] [0.9668,15.7929]
64 [0.2314,11.9789] [0.9912,13.3950]
65 [0.2387,10.1012] [0.9859,11.3886]
66 [0.2297,8.5545] [0.9418,9.8049]
67 [0.2249,7.3477] [1.0509,8.6426]
68 [0.2250,6.5359] [1.0951,7.9854]
69 [0.2312,6.0865] [1.1360,7.7428]
70 [0.2345,5.9820] [1.3136,7.8752]
71 [0.2276,6.1308] [1.2831,8.2781]
72 [0.2522,6.3655] [1.4026,8.4881]
73 [0.2601,6.4984] [1.3828,8.5173]
74 [0.2863,6.4175] [1.2056,8.3001]
75 [0.3108,6.1589] [0.8962,7.9321]
76 [0.2972,5.7829] [0.7629,7.5005]
77 [0.2473,5.3822] [0.7674,6.9561]
78 [0.2290,4.9787] [0.8022,6.4299]
79 [0.2111,4.6068] [0.8225,5.9794]
80 [0.2063,4.2838] [0.8260,5.5684]
81 [0.1955,4.0170] [0.8864,5.2413]
82 [0.2141,3.8379] [0.8633,4.9778]
83 [0.1892,3.8180] [0.8995,5.0089]
84 [0.1904,4.1048] [0.8874,5.5444]
85 [0.1981,4.8776] [0.9075,6.9072]
86 [0.1882,6.1750] [0.9045,8.8482]
87 [0.1904,7.8221] [0.8923,11.0959]
88 [0.1814,9.6509] [0.9106,13.5146]
89 [0.1669,11.6503] [1.0035,16.0814]
90 [0.1641,13.8676] [1.0098,18.9590]
91 [0.1561,16.2824] [1.0353,21.9451]
92 [0.1457,18.8213] [1.0587,25.0443]
93 [0.1541,21.3828] [1.0369,28.0306]
94 [0.1393,23.8611] [1.1021,30.8670]
95 [0.1392,26.1969] [1.0984,33.3925]
96 [0.1266,28.2294] [1.1424,35.5219]
97 [0.1447,29.9101] [1.1082,37.1289]
98 [0.1408,31.1109] [1.1400,37.9632]
99 [0.1450,31.6632] [1.3803,38.0233]
100 [0.1454,31.5608] [1.2716,37.3962]
101 [0.1208,30.8100] [1.2620,36.0293]
102 [0.1288,29.4988] [1.2978,34.0120]
103 [0.1241,27.6827] [1.3044,31.4791]
104 [0.1278,25.4219] [1.5732,28.4122]
105 [0.1553,22.7248] [1.4670,24.9568]
106 [0.1289,19.7863] [1.3120,21.3399]
107 [0.1076,16.7977] [1.3548,17.8514]
108 [0.1132,14.1540] [1.3656,15.4321]
109 [0.1306,12.0954] [1.3741,13.0629]
110 [0.1185,10.0850] [1.3602,10.6689]
111 [0.1222,8.3621] [1.5304,8.9694]
112 [0.1212,7.4845] [1.7293,8.1482]
113 [0.1290,7.0336] [1.5797,7.8500]
114 [0.1190,7.1055] [1.5730,8.4940]
115 [0.1488,8.6725] [1.6711,11.6297]
116 [0.1417,12.8762] [1.5269,18.7003]
117 [0.1882,19.2423] [1.4922,26.8708]
118 [0.1868,26.1178] [1.4824,35.6289]
119 [0.1971,32.5882] [1.5592,43.5389]
120 [0.2495,37.9493] [1.6615,49.3521]
121 [0.2265,41.9224] [1.7302,53.5407]
122 [0.1961,44.9215] [1.5495,56.4128]
123 [0.2027,46.9287] [1.3382,57.9701]
124 [0.2188,48.1976] [1.3476,58.9123]
125 [0.1838,48.7033] [1.3645,59.0080]
126 [0.1697,48.5937] [1.4201,58.5912]
127 [0.1707,48.0332] [1.3987,57.5612]
128 [0.1704,46.8562] [1.5109,55.7621]
129 [0.2059,45.2251] [1.7444,53.3125]
130 [0.1937,43.0453] [1.5602,50.5058]
131 [0.2164,40.6046] [1.5807,47.3403]
132 [0.2176,37.8147] [1.8911,43.8676]
133 [0.2672,34.8316] [1.6959,40.1747]
134 [0.3267,31.7113] [2.6649,36.4199]
135 [0.4009,28.5627] [3.1243,32.6401]
136 [0.3967,25.4023] [2.9557,28.9848]
137 [0.2680,22.3710] [2.2826,25.4761]
138 [0.1824,19.5325] [1.7291,22.1712]
139 [0.1478,16.9178] [1.8423,19.2911]
140 [0.1297,14.5764] [1.5846,16.6945]
141 [0.1159,12.5647] [1.6082,14.6358]
142 [0.0894,10.9914] [1.5820,13.1237]
143 [0.0887,9.8830] [1.7422,12.2234]
144 [0.0908,9.1401] [1.6900,11.6698]
145 [0.0858,8.7057] [1.8127,11.5794]
146 [0.0794,8.5583] [1.7028,11.8073]
147 [0.0928,8.6909] [2.0638,12.4224]
148 [0.0686,8.9677] [2.0068,12.9747]
149 [0.0851,9.3511] [2.1501,13.5530]
150 [0.0853,9.7054] [2.3776,14.0111]
151 [0.0897,9.9833] [1.9153,14.1616]
152 [0.0638,10.2061] [2.0087,14.4808]
153 [0.0683,10.3691] [1.9100,14.5332]
154 [0.1023,10.4162] [2.3533,14.5117]
155 [0.0692,10.2049] [1.9620,14.1331]
156 [0.0637,9.9752] [2.0328,13.7081]
157 [0.0667,9.5612] [1.8362,13.0603]
158 [0.0765,9.0426] [2.4100,12.4083]
159 [0.0605,8.3888] [1.9905,11.4320]
160 [0.0817,7.7526] [2.0705,10.5846]
161 [0.0667,7.2171] [2.1159,9.8521]
162 [0.0478,6.9869] [1.8993,9.6332]
163 [0.0610,7.6568] [2.0718,11.5319]
164 [0.0493,10.1414] [2.0400,15.9927]
165 [0.0538,14.1600] [2.0560,21.8229]
166 [0.0453,19.1801] [2.1562,28.6819]
167 [0.0404,25.0467] [1.5921,36.2251]
168 [0.0404,31.4391] [1.8816,44.1138]
169 [0.0356,37.9729] [2.0073,51.8527]
170 [0.0324,44.2788] [2.0976,58.6872]
171 [0.0379,49.6651] [2.0641,63.9509]
172 [0.0262,53.5478] [1.7705,67.2748]
173 [0.0334,55.8806] [1.7204,68.1888]
174 [0.0329,55.9583] [2.3114,66.4698]
175 [0.0254,54.1610] [2.0384,62.7656]
176 [0.0263,50.7045] [2.4726,56.9835]
177 [0.0336,45.6937] [2.1882,49.8388]
178 [0.0268,39.4390] [2.8997,41.3113]
179 [0.0388,32.7392] [2.7778,34.8962]
180 [0.0316,29.1269] [3.2056,32.8751]
181 [0.0305,27.8659] [3.7746,31.4502]
182 [0.0439,26.4459] [3.4760,29.4644]
183 [0.0468,24.7673] [3.6271,27.1937]
184 [0.0771,22.7650] [3.3383,24.5721]
185 [0.0711,20.5067] [3.5848,21.8320]
186 [0.0752,18.1966] [4.2509,18.9330]
187 [0.0624,15.6752] [2.7200,15.8251]
188 [0.0484,13.1391] [3.0720,12.8140]
189 [0.0730,10.8027] [3.6746,10.8270]
190 [0.0366,10.0159] [3.3218,10.7871]
191 [0.0456,9.9034] [2.8624,10.7488]
192 [0.0876,9.9193] [3.8901,11.0539]
193 [0.0807,9.9688] [2.8351,10.9672]
194 [0.0578,10.1110] [3.4378,11.4502]
195 [0.0783,10.3296] [3.7630,11.7716]
196 [0.0458,10.4803] [4.0459,11.9896]
197 [0.0361,10.6233] [4.5295,12.4252]
198 [0.0368,10.8754] [3.9699,12.6771]
199 [0.0946,11.1145] [2.6068,12.5959]
