epoch training validation
0 [0.6912,2.0216] [0.6627,1.9966]
1 [0.6102,2.0625] [0.6103,2.0008]
2 [0.5921,2.1803] [0.5949,2.0128]
3 [0.5828,2.3585] [0.5826,2.0521]
4 [0.5767,2.6368] [0.5762,2.1390]
5 [0.5764,3.1103] [0.5708,2.4119]
6 [0.5748,4.0140] [0.5684,3.5478]
7 [0.5754,5.7586] [0.5718,7.3637]
8 [0.5740,8.4940] [0.5825,14.4171]
9 [0.5758,12.4335] [0.5775,24.2367]
10 [0.5796,18.3113] [0.6106,36.7531]
11 [0.5779,26.7532] [0.5895,51.2220]
12 [0.5849,37.0941] [0.5882,65.2951]
13 [0.5859,46.9893] [0.5889,76.9769]
14 [0.5904,55.1515] [0.5938,85.5489]
15 [0.5938,60.7758] [0.5857,90.5234]
16 [0.5952,63.8124] [0.6230,91.9609]
17 [0.6125,64.3351] [0.6331,90.0845]
18 [0.6093,62.5449] [0.6014,85.5368]
19 [0.6064,59.2002] [0.5648,79.0933]
20 [0.6099,54.4535] [0.5812,71.0684]
21 [0.6051,48.7688] [0.5929,62.1253]
22 [0.6229,42.4589] [0.5729,52.5404]
23 [0.6100,35.7144] [0.6316,42.7396]
24 [0.6023,28.9664] [0.6270,33.1053]
25 [0.6089,22.7548] [0.6667,27.3648]
26 [0.6072,27.3470] [0.6797,45.4267]
27 [0.6192,41.3561] [0.5859,64.6776]
28 [0.6241,54.3350] [0.7905,81.3542]
29 [0.6223,65.4112] [0.7271,95.4875]
30 [0.6071,75.1261] [0.6751,108.4717]
31 [0.6031,84.2368] [0.6251,120.4010]
32 [0.6084,92.5305] [0.5923,131.2942]
33 [0.6081,100.0949] [0.6518,140.9258]
34 [0.6028,106.7876] [0.5978,149.4283]
35 [0.6061,112.5782] [0.7438,156.4007]
36 [0.6143,117.2196] [0.5670,161.4320]
37 [0.6263,120.2765] [0.6310,164.3682]
38 [0.5954,122.1116] [0.7807,165.8020]
39 [0.6192,122.7430] [0.5996,165.4315]
40 [0.6293,122.0126] [0.9002,163.2740]
41 [0.5762,120.1383] [0.5543,159.7179]
42 [0.6034,117.2701] [0.5340,154.8911]
43 [0.6382,113.3727] [0.6815,148.5024]
44 [0.5919,108.5411] [0.7535,141.2773]
45 [0.5676,103.1209] [0.9235,133.5051]
46 [0.5864,97.4090] [0.8980,125.2935]
47 [0.5649,91.2345] [0.7604,116.7231]
48 [0.5577,84.9870] [0.7797,107.9977]
49 [0.5793,78.5256] [0.8288,99.3305]
50 [0.5688,72.1802] [0.8187,90.8370]
51 [0.5241,65.9053] [0.6139,82.6585]
52 [0.5320,59.9925] [0.6510,75.0002]
53 [0.5221,54.3295] [0.6892,68.0303]
54 [0.5322,49.2864] [0.8486,61.8422]
55 [0.5174,44.7465] [0.6865,56.4959]
56 [0.5274,40.9330] [0.7352,52.1315]
57 [0.5087,37.5792] [0.6733,48.4602]
58 [0.5050,34.7692] [0.7806,45.6108]
59 [0.4995,32.5480] [0.7838,43.5803]
60 [0.4938,30.8934] [0.7237,42.4242]
61 [0.4800,30.0123] [0.5529,42.1698]
62 [0.4713,29.7589] [0.5467,42.5466]
63 [0.4554,29.9202] [0.5393,43.1086]
64 [0.4410,30.2629] [0.5481,43.5356]
65 [0.4286,30.6566] [0.5397,43.8747]
66 [0.4231,31.0568] [0.5569,44.2625]
67 [0.4069,31.4912] [0.5651,44.8804]
68 [0.4176,31.9773] [0.5592,45.5799]
69 [0.4031,32.5403] [0.5669,46.3440]
70 [0.3981,33.0616] [0.5771,47.1871]
71 [0.4024,33.6490] [0.5742,47.9985]
72 [0.4067,34.1240] [0.5523,48.7089]
73 [0.3901,34.5489] [0.5823,49.2752]
74 [0.3902,34.7963] [0.5951,49.6287]
75 [0.3890,34.8793] [0.5639,49.6573]
76 [0.3826,34.6908] [0.5705,49.2796]
77 [0.3760,34.2266] [0.5578,48.4869]
78 [0.3757,33.4480] [0.5956,47.2629]
79 [0.3730,32.3357] [0.5651,45.5644]
