epoch training validation
0 [0.6477,1.9557] [0.6601,1.9980]
1 [0.6361,1.9581] [0.6342,1.9651]
2 [0.6223,1.9583] [0.6317,1.9363]
3 [0.6182,1.9600] [0.6318,1.9117]
4 [0.6170,1.9651] [0.6349,1.8947]
5 [0.6146,1.9779] [0.6381,1.8896]
6 [0.6140,2.0040] [0.6416,1.8994]
7 [0.6122,2.0610] [0.6423,1.9484]
8 [0.6108,2.1881] [0.6392,2.1252]
9 [0.6077,2.5390] [0.6291,2.9547]
10 [0.6060,3.8154] [0.6039,6.9933]
11 [0.6101,7.7388] [0.6373,15.5963]
12 [0.6308,14.2950] [0.6485,23.3993]
13 [0.6306,20.4717] [0.6107,29.4645]
14 [0.6159,25.6034] [0.5814,33.9822]
15 [0.5963,29.4798] [0.5900,37.1007]
16 [0.5872,31.9005] [0.5756,38.5386]
17 [0.5786,32.7884] [0.5603,38.4709]
18 [0.5616,32.4090] [0.5440,37.2512]
19 [0.5470,31.0682] [0.5309,35.1334]
20 [0.5293,29.0302] [0.5204,32.3819]
21 [0.5153,26.4966] [0.5093,29.2135]
22 [0.5000,23.6794] [0.4977,25.8201]
23 [0.4864,20.7197] [0.4892,22.3485]
24 [0.4723,17.7400] [0.4874,18.9417]
25 [0.4599,14.8785] [0.4853,15.6962]
26 [0.4502,12.2131] [0.4870,12.7932]
27 [0.4382,10.2735] [0.4888,11.0967]
28 [0.4259,9.6707] [0.4926,10.9318]
29 [0.4174,9.8169] [0.5004,11.3077]
30 [0.4066,10.3776] [0.5021,12.6073]
31 [0.4040,12.6720] [0.4995,17.0634]
32 [0.3966,17.2496] [0.4955,22.9636]
33 [0.3875,22.5340] [0.4996,29.2718]
34 [0.3896,28.0870] [0.4964,35.7844]
35 [0.3791,33.7532] [0.5038,42.2715]
36 [0.3760,39.3087] [0.5122,48.4057]
37 [0.3685,44.4630] [0.4989,53.9218]
38 [0.3666,49.0349] [0.5031,58.6088]
39 [0.3518,52.7182] [0.4955,62.1168]
40 [0.3526,55.3793] [0.5089,64.4563]
41 [0.3503,56.9503] [0.5095,65.4691]
42 [0.3419,57.3411] [0.5106,65.0705]
43 [0.3486,56.4607] [0.5135,63.3154]
44 [0.3430,54.4515] [0.5187,60.3378]
45 [0.3309,51.4831] [0.5233,56.4672]
46 [0.3359,47.8535] [0.5309,51.9729]
47 [0.3362,43.7472] [0.5390,47.0177]
48 [0.3530,39.2230] [0.6062,41.6756]
49 [0.3499,34.4569] [0.7064,36.1961]
50 [0.3392,29.6569] [0.7377,30.8094]
51 [0.3161,25.0135] [0.6789,25.6932]
52 [0.3160,20.7093] [0.6795,21.0632]
53 [0.2958,16.8518] [0.6162,17.0192]
54 [0.3011,13.6282] [0.6397,13.7873]
55 [0.2998,11.2209] [0.6587,11.4862]
56 [0.2966,9.7424] [0.6334,10.0810]
57 [0.2894,9.1569] [0.6414,10.1007]
58 [0.2911,10.4423] [0.6365,13.1173]
59 [0.2815,13.5826] [0.6765,17.4154]
60 [0.2815,17.5355] [0.6551,22.3967]
61 [0.2782,22.0819] [0.6677,28.1619]
62 [0.2926,27.2340] [0.7170,34.3876]
63 [0.2686,32.7512] [0.7134,41.2516]
64 [0.2655,38.9270] [0.7332,48.7342]
65 [0.2753,45.5436] [0.7408,56.4328]
66 [0.2613,52.1275] [0.7578,63.9074]
67 [0.2582,58.5336] [0.7751,71.1608]
68 [0.2522,64.6306] [0.7959,77.8014]
69 [0.2493,70.1070] [0.8276,83.6077]
70 [0.2449,74.7535] [0.7914,88.2709]
71 [0.2381,78.3621] [0.7622,91.5232]
72 [0.2421,80.5986] [0.8740,93.2237]
73 [0.2376,81.5065] [0.8843,93.2768]
74 [0.2327,81.0063] [0.8822,91.8939]
75 [0.2308,79.2934] [0.8406,89.1151]
76 [0.2258,76.4922] [0.7594,85.1416]
77 [0.2213,72.6121] [0.8349,80.1260]
78 [0.2240,67.9223] [0.8826,74.2613]
79 [0.2302,62.4909] [0.9874,67.6985]
80 [0.2274,56.6188] [1.0420,60.7924]
81 [0.2411,50.5173] [1.1202,53.6537]
82 [0.2490,44.2397] [1.1620,46.5019]
83 [0.2261,38.3937] [1.1531,40.6717]
84 [0.2211,33.4305] [0.8775,35.2805]
85 [0.2319,28.6571] [0.9183,30.0967]
86 [0.2302,24.1015] [0.9229,25.2236]
87 [0.2602,19.8541] [0.8685,20.7182]
88 [0.3039,15.9752] [0.9125,16.7029]
89 [0.2705,12.9238] [1.4569,14.0171]
90 [0.2414,11.2392] [1.7499,12.4721]
91 [0.2343,10.0729] [1.4998,11.1955]
92 [0.2185,9.2638] [1.7671,10.3837]
93 [0.2361,8.8208] [1.5679,9.8927]
94 [0.2244,8.5388] [1.8834,9.5146]
95 [0.2430,8.2974] [2.1600,9.1974]
96 [0.2638,8.0423] [2.3104,8.9053]
97 [0.2756,7.8530] [2.6501,8.8068]
98 [0.3031,7.7999] [3.4060,8.9913]
99 [0.3204,8.0957] [2.7380,9.9771]
100 [0.3314,9.5953] [2.2177,13.8738]
101 [0.2526,14.3864] [1.5977,23.1562]
102 [0.2049,22.8012] [1.9791,35.2707]
103 [0.2252,31.2672] [1.9318,44.8679]
104 [0.2077,38.0468] [1.9735,52.8454]
105 [0.2012,43.9666] [1.9670,60.0466]
106 [0.2127,49.2377] [1.9267,66.1079]
107 [0.1916,53.8085] [1.9276,71.4180]
108 [0.1906,57.6984] [1.9329,75.6883]
109 [0.1868,60.8900] [1.9045,78.9670]
110 [0.1802,63.2463] [2.1247,81.0831]
111 [0.1733,64.5864] [2.2337,81.8949]
112 [0.1578,64.9996] [2.1239,81.6598]
113 [0.1716,64.6100] [2.3387,80.2286]
114 [0.1530,63.1607] [2.2349,77.6718]
115 [0.1605,60.9556] [2.3250,74.1729]
116 [0.1503,58.0351] [2.5935,69.9222]
117 [0.1658,54.4868] [2.8208,64.8494]
118 [0.1654,50.3132] [2.8777,59.1865]
119 [0.1841,45.7150] [2.9083,53.1009]
120 [0.1449,40.9077] [3.1194,46.9445]
121 [0.1739,36.0316] [2.6957,40.7279]
122 [0.2008,31.4437] [3.2984,35.3230]
123 [0.1883,27.3165] [2.5719,30.2548]
124 [0.2381,23.2222] [3.2850,25.3173]
125 [0.2129,19.2618] [2.5420,20.5919]
126 [0.2183,15.9308] [1.7275,17.1621]
127 [0.2221,13.4097] [1.7334,14.3340]
128 [0.1824,11.0615] [1.7547,11.6998]
129 [0.1410,8.8953] [1.8537,9.3665]
130 [0.1474,7.0098] [1.8760,7.4083]
131 [0.1580,5.5548] [1.9946,6.1033]
132 [0.1515,4.8373] [1.7603,5.6201]
133 [0.1651,4.6165] [1.8867,5.4787]
134 [0.1592,4.5913] [1.7729,5.6030]
135 [0.1618,4.6681] [2.0224,5.8145]
136 [0.1609,4.8059] [1.6789,6.1950]
137 [0.1819,5.0013] [1.5810,6.6194]
138 [0.1829,5.2153] [1.4300,7.0212]
139 [0.1864,5.4509] [1.3311,7.3623]
140 [0.2051,5.6229] [1.1754,7.5820]
141 [0.2265,5.7247] [1.0740,7.6197]
142 [0.2069,5.7664] [1.0268,7.6408]
143 [0.1959,5.8069] [0.9818,7.6533]
144 [0.1535,5.8686] [0.9763,7.8172]
145 [0.1393,5.9823] [0.9964,8.0047]
146 [0.1302,6.0438] [1.0192,8.1353]
147 [0.1275,6.0779] [0.9864,8.2436]
148 [0.1130,6.1116] [1.0040,8.3488]
149 [0.1222,6.1413] [1.0307,8.4662]
150 [0.1015,6.1956] [1.1096,8.6173]
151 [0.0991,6.2523] [1.0339,8.7300]
152 [0.1138,6.3130] [1.0792,8.8158]
153 [0.0992,6.3422] [1.0938,8.8231]
154 [0.0906,6.3134] [1.1100,8.7712]
155 [0.0923,6.2543] [1.2181,8.6594]
156 [0.1063,6.1073] [1.1598,8.3865]
157 [0.0877,5.8619] [1.1979,7.9863]
158 [0.0932,5.5505] [1.2107,7.5428]
159 [0.0934,5.2043] [1.2874,7.0050]
160 [0.0839,4.8253] [1.2892,6.4836]
161 [0.0696,4.4534] [1.3707,5.9650]
162 [0.0808,4.1044] [1.4404,5.4801]
163 [0.0807,3.7807] [1.3571,5.0470]
164 [0.0808,3.5199] [1.4977,4.6009]
165 [0.0838,3.3957] [1.5531,4.3173]
166 [0.0875,3.5227] [1.9042,4.3683]
167 [0.1175,4.7831] [2.1328,6.0728]
168 [0.0876,5.4443] [1.8766,5.6644]
169 [0.0759,4.3601] [1.8406,4.9600]
170 [0.0821,4.0395] [1.8573,5.3400]
171 [0.0822,4.7343] [1.9633,5.9171]
172 [0.0570,6.1751] [2.0666,7.8268]
173 [0.0551,7.8676] [2.0077,9.9923]
174 [0.0807,9.1582] [1.9652,11.1532]
175 [0.0631,10.3581] [1.8965,12.8775]
176 [0.0728,11.5532] [2.0582,13.6132]
177 [0.0640,12.4904] [1.7191,15.1015]
178 [0.0674,13.2421] [1.8551,15.2286]
179 [0.0662,13.5264] [1.7168,15.5203]
180 [0.0628,13.6206] [1.7330,15.3532]
181 [0.0511,13.5768] [1.8886,15.3261]
182 [0.0776,13.3934] [1.9039,14.2090]
183 [0.0455,13.1880] [1.9531,14.0560]
184 [0.0567,13.3411] [1.8320,13.8974]
185 [0.0554,13.5535] [2.0624,14.0720]
186 [0.0623,13.4532] [2.1870,13.9966]
187 [0.0653,13.3479] [2.0815,14.1268]
188 [0.0618,13.3810] [2.1675,14.1687]
189 [0.0641,13.3631] [2.2186,14.2224]
190 [0.0644,13.2872] [2.1659,13.8433]
191 [0.0779,13.1082] [2.1520,13.6488]
192 [0.0594,12.8653] [1.9729,13.2692]
193 [0.0761,12.5689] [2.2439,12.7959]
194 [0.0710,12.1884] [2.5374,12.4386]
195 [0.0860,11.8059] [2.3459,12.0064]
196 [0.0941,11.4213] [2.2321,11.5589]
197 [0.1026,11.0013] [2.2402,11.0433]
198 [0.1205,10.5495] [2.0485,10.5087]
199 [0.0690,10.0935] [2.1036,10.1337]
