epoch training validation
0 [0.6842,2.0145] [0.6627,1.9966]
1 [0.6012,2.0270] [0.5802,1.9913]
2 [0.5789,2.0400] [0.5697,1.9901]
3 [0.5719,2.0627] [0.5718,1.9957]
4 [0.5703,2.0896] [0.5814,2.0095]
5 [0.5696,2.1193] [0.5934,2.0328]
6 [0.5669,2.1521] [0.6078,2.0675]
7 [0.5656,2.1968] [0.6198,2.1282]
8 [0.5623,2.2523] [0.6346,2.2171]
9 [0.5586,2.3307] [0.6533,2.3573]
10 [0.5520,2.4378] [0.6922,2.5938]
11 [0.5397,2.5865] [0.7938,2.9314]
12 [0.5216,2.7885] [0.8932,3.5027]
13 [0.4999,3.1890] [0.8214,4.8072]
14 [0.4744,4.2491] [0.6463,8.3224]
15 [0.4481,7.4017] [0.5380,15.2742]
16 [0.4304,13.0398] [0.5017,23.6131]
17 [0.4247,19.6613] [0.4773,31.1470]
18 [0.4060,25.4898] [0.4661,37.0252]
19 [0.3979,30.1156] [0.4730,41.4266]
20 [0.3881,33.4534] [0.4787,44.2546]
21 [0.3835,35.5662] [0.4721,45.7767]
22 [0.3707,36.5980] [0.4739,46.0714]
23 [0.3602,36.5873] [0.4847,45.2439]
24 [0.3479,35.6757] [0.4915,43.5454]
25 [0.3467,34.1279] [0.4946,41.1326]
26 [0.3375,31.9687] [0.5027,38.0898]
27 [0.3320,29.3581] [0.5161,34.6296]
28 [0.3346,26.4579] [0.5230,30.8483]
29 [0.3245,23.2988] [0.6065,26.8502]
30 [0.3054,20.0090] [0.6179,22.8211]
31 [0.3027,16.7750] [0.6094,18.8746]
32 [0.2903,13.6092] [0.6347,15.0925]
33 [0.2976,10.6227] [0.6913,11.5414]
34 [0.3030,7.8661] [0.6572,8.3163]
35 [0.2871,5.5862] [0.7262,5.8385]
36 [0.2790,4.2288] [0.6610,4.5693]
37 [0.2864,3.6048] [0.6206,3.9476]
38 [0.3337,3.2552] [0.6537,3.5347]
39 [0.3269,3.0089] [0.6299,3.3055]
