epoch training validation
0 [0.7272,1.9760] [0.7451,2.0073]
1 [0.6617,2.0734] [0.6633,2.0405]
2 [0.6467,2.5776] [0.6419,2.2588]
3 [0.6440,4.5631] [0.6143,5.1825]
4 [0.6439,10.2604] [0.6199,21.3265]
5 [0.6475,22.1532] [0.7619,53.7975]
6 [0.6561,46.9430] [0.6696,100.0903]
7 [0.6732,80.9660] [0.7314,148.3820]
8 [0.6881,113.3881] [0.7745,189.7116]
9 [0.7085,138.9095] [0.8712,219.2745]
10 [0.7278,156.1285] [0.8373,235.9651]
11 [0.7709,164.4609] [1.0458,239.6321]
12 [0.7794,164.0421] [0.9100,231.1140]
13 [0.7649,156.2868] [0.7284,213.5892]
14 [0.7714,142.9480] [0.7610,189.7469]
15 [0.8073,125.9329] [0.8899,161.6008]
16 [0.8355,106.3418] [0.8272,135.1036]
17 [0.8336,106.6470] [1.1699,172.2426]
18 [0.8367,138.6983] [0.9330,220.4422]
19 [0.8022,169.2206] [0.8829,262.8348]
20 [0.8435,197.0315] [0.8018,302.3913]
21 [0.8340,222.3684] [0.8568,337.5862]
22 [0.8994,245.0895] [1.0785,368.7770]
23 [0.9025,264.7558] [0.8063,394.4545]
24 [0.8626,280.3119] [0.6853,413.9021]
25 [0.9821,291.8564] [1.1182,427.5808]
26 [0.9475,299.3430] [0.7791,435.4320]
27 [0.9390,303.1154] [0.8842,437.9919]
28 [0.9420,302.8934] [0.7052,434.6974]
29 [1.0039,298.7878] [0.9850,425.7733]
30 [1.0703,290.2803] [1.1712,410.1230]
31 [1.1044,277.1537] [1.2947,388.3954]
32 [1.0180,260.4503] [0.8456,362.0818]
33 [1.0026,241.4070] [1.1415,333.0473]
34 [1.1369,220.5430] [0.9130,301.4213]
35 [1.0559,198.0437] [0.7865,268.7054]
36 [1.0521,175.2167] [0.8369,235.8792]
37 [1.0337,152.6087] [0.7038,203.7568]
38 [0.9938,130.8456] [0.8008,173.7112]
39 [0.9457,110.6520] [0.9298,146.4493]
40 [0.9710,92.8460] [0.6017,122.4555]
41 [0.9325,77.1791] [0.7635,102.4563]
42 [0.9123,64.4034] [0.9109,86.9778]
43 [0.8949,55.0123] [0.5990,76.1436]
44 [0.8697,48.3939] [0.7936,69.3985]
45 [0.8424,44.6421] [0.6140,67.7175]
46 [0.7850,44.2605] [0.6251,71.6441]
47 [0.7497,47.2101] [0.6315,78.8014]
48 [0.7066,51.2528] [0.6396,83.8476]
49 [0.6954,54.0212] [0.7194,85.7777]
50 [0.7080,55.8337] [0.7014,87.6059]
51 [0.7060,57.6625] [0.7709,89.8874]
52 [0.6843,59.5956] [0.6366,92.4463]
53 [0.6830,61.6969] [0.6898,95.3355]
54 [0.6910,63.8726] [0.7205,98.3764]
55 [0.6873,66.0231] [0.7320,101.4818]
56 [0.6780,68.2314] [0.7179,104.5868]
57 [0.6749,70.3776] [0.6924,107.6164]
58 [0.6804,72.4155] [0.6894,110.5056]
59 [0.6870,74.2987] [0.7277,112.8730]
60 [0.7030,75.7990] [0.6877,114.4889]
61 [0.6810,76.7126] [0.6380,115.2330]
62 [0.6580,77.0905] [0.6713,115.0374]
63 [0.6815,76.7599] [0.6494,113.5360]
64 [0.6703,75.4830] [0.6129,110.5673]
65 [0.6702,73.2462] [0.6797,106.0864]
66 [0.6741,69.8949] [0.6106,99.9977]
67 [0.6634,65.5970] [0.6156,92.8523]
68 [0.6619,61.2581] [0.5768,85.8196]
69 [0.6463,56.2584] [0.6054,77.6451]
70 [0.6538,50.4257] [0.5908,68.4141]
71 [0.6480,43.9334] [0.5671,58.4267]
72 [0.6313,37.0132] [0.5654,48.1834]
73 [0.6222,34.4065] [0.6000,55.4148]
74 [0.6211,43.9141] [0.6297,71.1349]
75 [0.6518,53.8376] [0.6260,85.3548]
76 [0.6500,63.1205] [0.6103,99.1697]
77 [0.6340,72.3583] [0.5567,113.3914]
78 [0.5993,82.0585] [0.5918,128.5226]
79 [0.6175,92.1909] [0.5577,144.1625]
80 [0.6028,102.4196] [0.5603,160.1715]
81 [0.6292,112.7160] [0.5702,175.8900]
82 [0.6130,122.5406] [0.5871,190.6752]
83 [0.5937,131.7150] [0.6158,204.2544]
84 [0.6240,139.8298] [0.5868,216.0612]
85 [0.6326,146.7038] [0.6188,225.6642]
86 [0.6209,152.0248] [0.5553,232.7406]
87 [0.6283,155.6113] [0.5541,237.2802]
88 [0.6245,157.6053] [0.5823,239.0351]
89 [0.6527,157.6686] [0.6035,237.6646]
90 [0.6429,155.7669] [0.5451,233.9056]
91 [0.6147,152.6111] [0.5581,228.1832]
92 [0.6348,148.3269] [0.5487,220.9671]
93 [0.6608,143.2762] [0.6039,212.4180]
94 [0.6522,137.6251] [0.5577,203.4813]
95 [0.6614,132.0110] [0.6559,194.5662]
96 [0.6239,127.0605] [0.5823,187.5862]
97 [0.6486,123.6712] [0.5687,183.5166]
98 [0.6369,121.9710] [0.5559,183.1844]
99 [0.6396,121.7013] [0.5528,185.3722]
100 [0.6478,121.6922] [0.8597,186.3868]
101 [0.6899,119.7053] [0.5716,181.3423]
102 [0.6807,113.5922] [0.6310,168.5750]
103 [0.7279,103.0009] [0.5971,148.7418]
104 [0.7139,88.3015] [0.6294,123.4785]
105 [0.7447,71.0071] [0.5989,95.2252]
106 [0.7221,52.4024] [0.5941,66.1422]
107 [0.6908,34.0603] [0.6293,38.5052]
108 [0.7243,19.1764] [0.6658,24.2229]
109 [0.6829,34.7538] [0.6547,80.7085]
110 [0.6685,83.5061] [0.6062,159.8332]
111 [0.7334,140.7254] [0.6379,242.4242]
112 [0.7124,199.8199] [0.6387,323.6278]
113 [0.7167,258.8391] [0.7892,402.2687]
114 [0.7901,315.2168] [0.6724,471.1697]
115 [0.8041,362.8509] [0.6442,525.2242]
116 [0.8156,399.5905] [0.6419,564.0778]
117 [0.9191,424.4937] [0.6616,585.2417]
118 [0.9377,436.2099] [1.2642,590.0761]
119 [0.9207,435.5587] [0.6509,578.4365]
120 [0.8833,423.2198] [0.7449,553.5917]
121 [0.9150,402.8782] [1.3109,520.0900]
122 [0.9218,376.0901] [1.1869,479.3545]
123 [0.9052,345.4907] [1.3289,435.2150]
124 [1.0534,312.4378] [0.7010,388.3304]
125 [0.9199,278.5826] [0.7547,342.5534]
126 [0.9518,246.2019] [1.1397,299.3685]
127 [0.8670,216.7587] [1.5449,261.6634]
128 [0.8855,191.8783] [0.9505,230.5278]
129 [0.8150,171.6694] [1.1794,205.7883]
130 [0.7260,156.2180] [0.7858,188.3984]
131 [0.7382,146.1075] [0.7919,178.1702]
132 [0.7263,140.3500] [0.7808,173.6206]
133 [0.7002,137.4575] [0.8898,172.6312]
134 [0.6954,136.1125] [0.9099,172.8116]
135 [0.6272,135.3759] [0.7317,172.8533]
136 [0.6979,134.1520] [0.7601,171.4584]
137 [0.6175,132.0983] [0.8011,168.5547]
138 [0.6992,129.3441] [0.7762,164.5019]
139 [0.6908,125.4858] [0.7334,158.9294]
140 [0.6697,120.6378] [0.7404,152.2072]
141 [0.6862,115.1500] [0.7129,144.4686]
142 [0.6165,108.8219] [0.7342,135.8966]
143 [0.6868,101.9061] [0.7430,126.3130]
144 [0.6722,94.4095] [0.7240,115.8546]
145 [0.6671,86.2067] [0.8087,106.1367]
146 [0.6972,77.9914] [0.7642,95.9891]
147 [0.7016,69.2986] [0.9395,84.5521]
148 [0.7067,60.6249] [0.7936,73.1003]
149 [0.6624,51.7893] [0.7172,61.8491]
150 [0.6162,43.4092] [0.8122,50.9346]
151 [0.7230,35.4362] [0.8832,43.5268]
152 [0.6528,30.6270] [0.8071,42.6181]
153 [0.6820,29.2259] [0.9585,41.0776]
154 [0.6697,29.8685] [0.7693,42.1969]
155 [0.6515,33.6323] [0.7756,46.9968]
156 [0.6096,39.6995] [0.7468,55.4133]
157 [0.5891,48.5026] [0.7379,67.9046]
158 [0.7048,59.5326] [0.7378,84.1025]
159 [0.6671,72.7134] [0.7482,104.5560]
160 [0.6112,88.1920] [0.8030,129.8711]
161 [0.6715,106.7163] [0.7270,160.2879]
162 [0.6810,127.4447] [0.7304,194.5374]
163 [0.6139,149.8210] [0.7448,233.2082]
164 [0.6653,174.7557] [0.8485,276.5208]
165 [0.6384,201.5238] [1.2803,323.0410]
166 [0.6217,229.6347] [1.0589,373.2273]
167 [0.6966,259.2131] [1.4970,424.7168]
168 [0.6492,288.9467] [1.3169,477.2629]
169 [0.7126,318.5468] [1.8959,528.8304]
170 [0.6421,347.7878] [2.7136,578.8250]
171 [0.7158,375.7652] [1.2619,623.7004]
172 [0.7664,400.0917] [1.1903,660.3707]
173 [0.6991,419.5441] [2.3039,687.2335]
174 [0.9230,431.4549] [1.0454,697.2336]
175 [0.8417,433.0327] [1.9372,692.3782]
176 [0.9105,425.7612] [0.7484,673.3245]
177 [1.0977,408.1557] [1.2953,635.6657]
178 [0.8895,379.8567] [3.5580,586.2885]
179 [1.0123,345.1507] [1.3830,527.5179]
180 [1.0839,304.0130] [1.6178,460.2891]
181 [0.9664,260.1343] [3.0055,394.2942]
182 [0.9494,219.3092] [2.0129,330.8756]
183 [0.9592,190.6232] [1.0598,301.7185]
184 [1.0569,171.8618] [2.4551,271.3330]
185 [0.9558,151.6117] [1.0099,239.0955]
186 [0.9935,130.3027] [1.7518,205.5023]
187 [0.9496,108.1740] [2.1697,170.6334]
188 [0.9934,85.8912] [1.4253,136.0093]
189 [0.9399,63.4879] [3.2105,101.4947]
190 [1.0005,41.8006] [4.0361,66.9889]
191 [0.9972,22.0638] [3.4637,45.4991]
192 [0.9052,13.7695] [2.0319,31.8248]
193 [0.9465,10.7460] [2.1710,28.4072]
194 [0.9201,8.9054] [1.7059,28.0909]
195 [0.9157,7.9236] [2.1233,32.2139]
196 [0.9304,7.9464] [1.4399,33.0862]
197 [0.9646,8.3268] [2.2149,34.5599]
198 [0.9118,8.5418] [1.1713,32.2311]
199 [0.9361,8.6865] [1.6834,32.1817]
