epoch training validation
0 [0.6912,2.0216] [0.6627,1.9966]
1 [0.6102,2.0181] [0.6105,1.9596]
2 [0.5920,2.0081] [0.5954,1.9247]
3 [0.5827,2.0006] [0.5837,1.9002]
4 [0.5766,1.9961] [0.5781,1.8788]
5 [0.5763,1.9913] [0.5734,1.8624]
6 [0.5747,1.9875] [0.5697,1.8510]
7 [0.5744,1.9843] [0.5677,1.8414]
8 [0.5738,1.9803] [0.5654,1.8347]
9 [0.5734,1.9800] [0.5641,1.8305]
10 [0.5727,1.9772] [0.5632,1.8247]
11 [0.5717,1.9779] [0.5624,1.8211]
12 [0.5712,1.9766] [0.5614,1.8180]
13 [0.5703,1.9780] [0.5609,1.8158]
14 [0.5681,1.9798] [0.5612,1.8147]
15 [0.5685,1.9757] [0.5605,1.8144]
16 [0.5663,1.9762] [0.5606,1.8123]
17 [0.5635,1.9792] [0.5614,1.8114]
18 [0.5590,1.9708] [0.5625,1.8109]
19 [0.5568,1.9742] [0.5640,1.8107]
20 [0.5539,1.9741] [0.5671,1.8104]
21 [0.5482,1.9720] [0.5687,1.8091]
22 [0.5432,1.9746] [0.5777,1.8090]
23 [0.5354,1.9740] [0.5806,1.8084]
24 [0.5272,1.9757] [0.5915,1.8079]
25 [0.5190,1.9724] [0.6005,1.8074]
26 [0.5048,1.9670] [0.6244,1.8070]
27 [0.5014,1.9680] [0.6505,1.8073]
28 [0.4906,1.9625] [0.6942,1.8065]
29 [0.4799,1.9663] [0.7019,1.8061]
30 [0.4674,1.9649] [0.7570,1.8062]
31 [0.4607,1.9623] [0.7937,1.8055]
32 [0.4491,1.9575] [0.8629,1.8085]
33 [0.4427,1.9555] [0.9069,1.8106]
34 [0.4364,1.9494] [0.9517,1.8129]
35 [0.4250,1.9436] [0.9633,1.8137]
36 [0.4142,1.9433] [1.0465,1.8172]
37 [0.4074,1.9306] [1.0791,1.8201]
38 [0.4012,1.9219] [1.1391,1.8230]
39 [0.3880,1.9199] [1.1708,1.8272]
40 [0.3797,1.9123] [1.2242,1.8293]
41 [0.3770,1.9081] [1.2188,1.8320]
42 [0.3706,1.8966] [1.2730,1.8330]
43 [0.3663,1.8910] [1.2626,1.8371]
44 [0.3555,1.8842] [1.3404,1.8420]
45 [0.3579,1.8821] [1.3173,1.8459]
46 [0.3506,1.8689] [1.3489,1.8494]
47 [0.3433,1.8624] [1.3290,1.8557]
48 [0.3380,1.8523] [1.4376,1.8529]
49 [0.3382,1.8452] [1.3960,1.8545]
50 [0.3290,1.8396] [1.3989,1.8654]
51 [0.3304,1.8350] [1.4674,1.8516]
52 [0.3197,1.8218] [1.5450,1.8415]
53 [0.3164,1.8113] [1.4908,1.8505]
54 [0.3177,1.8056] [1.4693,1.8510]
55 [0.3104,1.8005] [1.5191,1.8377]
56 [0.3112,1.7880] [1.5024,1.8432]
