epoch training validation
0 [9.4728,19.9227] [4.3614,9.3301]
1 [9.5424,20.1357] [4.2419,9.2323]
2 [8.8429,19.7182] [4.1291,9.1382]
3 [8.7878,19.9037] [4.0173,9.0506]
4 [8.6600,19.8028] [3.9012,8.9622]
5 [8.6973,20.1776] [3.7956,8.8703]
6 [8.6762,19.1712] [3.6971,8.7843]
7 [8.5942,18.8393] [3.5929,8.6960]
8 [8.4603,19.4090] [3.5113,8.6155]
9 [7.8054,19.2091] [3.4305,8.5325]
10 [7.5987,18.6397] [3.3547,8.4510]
11 [8.0634,18.4586] [3.2777,8.3723]
12 [8.4683,19.2364] [3.2011,8.2943]
13 [7.7310,19.1451] [3.1292,8.2173]
14 [7.8243,19.2394] [3.0585,8.1424]
15 [7.9791,18.6339] [3.0001,8.0713]
16 [7.7278,18.1098] [2.9369,8.0029]
17 [7.9015,19.1560] [2.8824,7.9342]
18 [7.4203,18.1366] [2.8220,7.8646]
19 [7.2695,18.1416] [2.7760,7.7926]
20 [7.7509,18.7575] [2.7298,7.7262]
21 [7.4382,17.7109] [2.6897,7.6622]
22 [7.4329,18.5342] [2.6479,7.5959]
23 [6.8635,17.9128] [2.6119,7.5330]
24 [7.3960,17.6783] [2.5791,7.4743]
25 [6.7548,17.9966] [2.5464,7.4195]
26 [6.9614,18.1518] [2.5147,7.3632]
27 [6.9873,17.5118] [2.4870,7.3015]
28 [6.6929,17.3549] [2.4602,7.2435]
29 [6.5509,16.6969] [2.4361,7.1875]
30 [6.8739,17.5559] [2.4152,7.1294]
31 [6.6014,17.2681] [2.3950,7.0720]
32 [6.8070,17.2708] [2.3740,7.0218]
33 [7.0997,17.3075] [2.3547,6.9714]
34 [6.6080,16.9897] [2.3348,6.9204]
35 [6.4938,15.9766] [2.3185,6.8699]
36 [6.5241,16.8004] [2.3004,6.8197]
37 [6.4240,16.2929] [2.2844,6.7717]
38 [6.3308,16.5175] [2.2690,6.7269]
39 [6.5767,16.8094] [2.2545,6.6786]
40 [6.4094,16.5328] [2.2394,6.6271]
41 [6.2415,16.7788] [2.2269,6.5819]
42 [5.9125,17.1559] [2.2123,6.5394]
43 [6.0136,16.5300] [2.2015,6.4938]
44 [6.1697,15.8814] [2.1907,6.4459]
45 [5.7640,15.8074] [2.1795,6.4065]
46 [6.1131,16.0436] [2.1678,6.3651]
47 [5.9503,15.4982] [2.1580,6.3207]
48 [5.3962,15.4308] [2.1508,6.2804]
49 [5.9549,15.5692] [2.1438,6.2376]
50 [6.2458,16.1887] [2.1349,6.1911]
51 [6.0295,15.9463] [2.1274,6.1535]
52 [5.8382,15.7354] [2.1200,6.1101]
53 [5.9031,15.5842] [2.1082,6.0690]
54 [5.8944,15.6073] [2.1023,6.0345]
55 [5.7137,15.2752] [2.0956,6.0007]
56 [5.3790,15.6081] [2.0915,5.9631]
57 [5.3806,15.2960] [2.0854,5.9215]
58 [5.8664,14.7064] [2.0777,5.8860]
59 [6.2894,14.9719] [2.0711,5.8505]
60 [5.5909,14.9528] [2.0646,5.8201]
61 [5.2602,15.0278] [2.0595,5.7858]
62 [5.8981,14.9854] [2.0506,5.7543]
63 [5.8725,14.8888] [2.0445,5.7195]
64 [5.4914,14.8550] [2.0368,5.6844]
65 [5.4752,14.4922] [2.0310,5.6508]
66 [5.3895,14.4165] [2.0242,5.6174]
67 [5.5215,14.5847] [2.0163,5.5839]
68 [5.5573,14.4176] [2.0103,5.5490]
69 [5.0791,14.5058] [1.9995,5.5133]
70 [5.1368,14.1850] [1.9934,5.4859]
71 [5.1033,14.6953] [1.9848,5.4538]
72 [5.4007,14.4183] [1.9781,5.4240]
73 [5.1405,13.9656] [1.9710,5.3946]
74 [5.4039,13.9933] [1.9651,5.3668]
75 [5.0572,14.1567] [1.9611,5.3383]
76 [5.1422,14.1839] [1.9533,5.3117]
77 [5.0080,14.6357] [1.9487,5.2836]
78 [4.8778,13.5890] [1.9428,5.2562]
79 [4.7806,13.9161] [1.9364,5.2291]
80 [4.6243,13.3728] [1.9313,5.2029]
81 [5.0905,13.9771] [1.9254,5.1748]
82 [5.0714,13.9993] [1.9199,5.1464]
83 [5.1106,13.8822] [1.9132,5.1172]
84 [4.8710,13.6939] [1.9017,5.0895]
85 [4.8828,13.3247] [1.8961,5.0637]
86 [4.5253,13.6096] [1.8898,5.0402]
87 [4.8058,13.6431] [1.8818,5.0181]
88 [4.5775,13.3008] [1.8758,4.9948]
89 [4.8254,13.3567] [1.8700,4.9727]
90 [4.8237,13.2459] [1.8613,4.9507]
91 [5.0765,12.8479] [1.8592,4.9267]
92 [4.5391,13.0070] [1.8492,4.9021]
93 [4.7592,13.5058] [1.8461,4.8823]
94 [4.4512,12.9579] [1.8430,4.8623]
95 [4.7264,12.5249] [1.8372,4.8435]
96 [4.7223,12.5989] [1.8313,4.8198]
97 [4.6719,12.5335] [1.8257,4.7984]
98 [4.4425,12.8291] [1.8225,4.7786]
99 [4.3010,12.3006] [1.8193,4.7548]
