epoch training validation
0 [0.6912,2.0216] [0.6627,1.9966]
1 [0.6102,2.1117] [0.6100,2.0459]
2 [0.5923,2.4407] [0.5938,2.1596]
3 [0.5829,3.1937] [0.5790,2.6564]
4 [0.5771,5.1976] [0.5732,6.2939]
5 [0.5767,9.4506] [0.5759,17.5023]
6 [0.5782,17.1190] [0.6002,37.0927]
7 [0.5827,31.8700] [0.5741,66.4513]
8 [0.5845,54.7395] [0.5789,101.1110]
9 [0.5957,80.6874] [0.5660,136.4036]
10 [0.6285,105.2682] [0.5905,166.4617]
11 [0.6348,124.7688] [0.6308,188.8682]
12 [0.6595,138.6733] [0.6338,202.5086]
13 [0.6539,147.2480] [0.5892,209.8557]
14 [0.7060,151.2826] [0.6426,210.1103]
15 [0.7014,149.9371] [0.5783,203.5127]
16 [0.7035,144.5095] [0.6295,192.1767]
17 [0.7433,135.8573] [0.5633,177.1426]
18 [0.7331,124.6617] [0.6443,159.2769]
19 [0.7341,111.9343] [0.5798,139.8158]
20 [0.7516,97.8875] [0.5864,119.1080]
21 [0.7310,83.2424] [0.5914,98.1981]
22 [0.7996,68.4884] [0.5635,77.4718]
23 [0.7410,53.8266] [0.6574,57.4390]
24 [0.7345,45.3030] [0.6874,68.5644]
25 [0.7440,69.3807] [0.7297,111.4106]
26 [0.7495,98.4046] [0.7639,149.0187]
27 [0.7782,123.7338] [0.5827,181.8790]
28 [0.8164,145.6849] [1.3548,209.6619]
29 [0.8149,163.9841] [0.7058,232.7216]
30 [0.7737,179.7642] [0.7458,253.6320]
31 [0.7788,194.3651] [0.5656,272.2609]
32 [0.8150,207.0486] [0.6130,288.3590]
33 [0.8377,217.9600] [0.6265,301.3852]
34 [0.8172,226.6171] [0.6008,311.6625]
35 [0.8551,233.2444] [0.7514,318.7727]
36 [0.8602,237.3640] [0.6711,321.8875]
37 [0.8759,238.8168] [0.6668,322.2849]
38 [0.8259,238.7853] [0.9662,320.6808]
39 [0.9242,236.9911] [0.5636,316.5303]
40 [0.9570,233.0259] [1.4429,309.3759]
41 [0.8658,227.3181] [0.5607,300.1934]
42 [0.8998,220.0514] [0.5669,289.1221]
43 [0.9561,211.5266] [0.6293,276.2142]
44 [0.9066,201.8680] [1.0609,262.3107]
45 [0.8759,191.4132] [1.2210,247.7503]
46 [0.8784,180.6549] [1.1643,232.6753]
47 [0.8626,169.3901] [0.7171,217.2827]
48 [0.8244,158.2003] [0.9917,201.8408]
49 [0.8908,146.7958] [1.0213,186.7209]
50 [0.8630,135.8223] [1.5141,172.0936]
51 [0.8132,125.0408] [0.6375,157.9440]
52 [0.8141,114.7909] [1.1570,144.5022]
53 [0.8383,104.8721] [1.6281,132.0784]
54 [0.8053,95.9340] [1.5350,120.6821]
55 [0.7440,87.6439] [1.0480,110.6940]
56 [0.7877,80.6368] [1.1326,102.4994]
57 [0.7174,74.7149] [0.7658,96.0180]
58 [0.7264,70.1849] [1.1867,91.3952]
59 [0.6686,66.8714] [0.8959,88.3468]
60 [0.6634,64.6044] [0.9723,86.9174]
61 [0.6303,63.6287] [0.6574,86.7919]
62 [0.6126,63.4992] [0.6608,87.4019]
63 [0.5995,63.7625] [0.5218,87.8840]
64 [0.5701,64.0904] [0.5235,88.1292]
65 [0.5515,64.3796] [0.5207,88.3743]
66 [0.5428,64.7456] [0.5391,88.7896]
67 [0.5144,65.2256] [0.5606,89.4277]
68 [0.5400,65.7751] [0.5500,90.1602]
69 [0.5109,66.4425] [0.5529,91.0609]
70 [0.5152,67.1558] [0.5360,92.1859]
71 [0.5097,68.0443] [0.6866,93.4575]
72 [0.5129,68.9359] [0.5675,94.8433]
73 [0.4922,69.9167] [0.5811,96.2234]
74 [0.4861,70.7774] [0.6485,97.5520]
75 [0.4917,71.5671] [0.5870,98.6832]
76 [0.4760,72.1869] [0.7096,99.5106]
77 [0.4749,72.5836] [0.5572,99.9686]
78 [0.4771,72.6665] [0.6813,100.0217]
79 [0.4731,72.4093] [0.6542,99.4934]
80 [0.4586,71.6947] [0.6495,98.2818]
81 [0.4640,70.5240] [0.5954,96.4400]
82 [0.4524,68.9179] [0.6215,93.9094]
83 [0.4560,66.6962] [0.5460,90.5952]
84 [0.4452,63.9940] [0.6386,86.6230]
85 [0.4295,60.7532] [0.6588,81.9737]
86 [0.4478,57.0727] [0.5669,76.6326]
87 [0.4278,52.8261] [0.6062,70.6771]
88 [0.4479,48.1822] [0.5338,64.1618]
89 [0.4257,43.1535] [0.6442,57.2249]
90 [0.4185,37.8302] [0.5736,50.0608]
91 [0.4121,32.4680] [0.6940,42.8521]
92 [0.4110,27.0356] [0.7971,35.7645]
93 [0.4081,21.7238] [0.7454,28.9644]
94 [0.3935,16.9150] [0.7110,23.4467]
95 [0.3813,20.2531] [0.8112,41.3085]
96 [0.3839,34.1176] [0.7489,62.8357]
97 [0.3939,48.4316] [0.7873,85.2473]
98 [0.3958,63.3569] [0.8116,109.5235]
99 [0.3812,79.4509] [0.9466,136.1518]
100 [0.3981,96.8677] [1.0558,164.0994]
101 [0.4002,115.1749] [1.1681,192.7083]
102 [0.3890,133.7743] [1.1754,221.2039]
103 [0.4021,152.6406] [1.7845,248.9463]
104 [0.4112,170.8091] [1.3089,274.8961]
105 [0.4130,188.1212] [1.5058,298.5433]
106 [0.4062,203.5914] [1.0019,318.7935]
107 [0.4253,216.6775] [0.7885,334.6733]
108 [0.4523,226.7516] [0.7882,345.2790]
109 [0.4229,233.5894] [0.7713,351.3836]
110 [0.4638,237.6766] [1.8010,353.0980]
111 [0.4246,239.0307] [1.4382,351.2143]
112 [0.4363,238.3897] [1.4400,346.8553]
113 [0.4541,236.3398] [0.9336,340.1253]
114 [0.4654,233.0588] [1.3172,332.1695]
115 [0.5071,228.8077] [1.2068,322.9728]
116 [0.4837,223.7700] [1.5225,312.8137]
117 [0.4448,217.8998] [1.2585,302.3845]
118 [0.4569,211.3484] [1.1398,291.3455]
119 [0.4679,203.1253] [1.2995,277.9051]
120 [0.5300,192.2628] [0.8657,263.9724]
121 [0.4904,179.9679] [1.1393,249.6654]
122 [0.5026,167.4067] [0.8320,228.9582]
123 [0.5245,152.1901] [1.6373,204.4541]
124 [0.4840,134.8013] [1.2317,177.5426]
125 [0.4727,115.8440] [1.0600,148.8357]
126 [0.5378,95.6268] [1.0165,118.6435]
127 [0.5373,74.7309] [1.8332,87.4874]
128 [0.5500,55.0165] [1.8228,67.7881]
129 [0.5260,47.7906] [1.1471,67.6941]
130 [0.5427,54.6483] [1.4888,85.8158]
