epoch training validation
127 [0.2361,75.3061] [0.8964,105.8306]
128 [0.2370,79.9182] [1.0382,112.0382]
129 [0.2114,84.1343] [1.0815,117.9289]
130 [0.2025,87.9823] [1.0477,123.1786]
131 [0.1857,91.0222] [1.0736,127.3907]
132 [0.1902,93.4187] [1.1397,130.5260]
133 [0.2042,94.9963] [1.0104,132.3211]
134 [0.1927,95.5882] [1.0362,132.4175]
135 [0.1987,95.1923] [1.0250,131.1618]
136 [0.2093,93.8691] [0.9686,128.6640]
137 [0.2081,91.6603] [0.9530,124.7131]
138 [0.2050,88.4319] [1.0428,119.4690]
139 [0.2023,84.5502] [1.0321,113.4340]
140 [0.1989,80.0528] [1.0142,106.5878]
141 [0.1881,74.9052] [1.0582,98.9671]
142 [0.1806,69.4571] [1.1060,91.1076]
143 [0.1823,63.7523] [1.0511,83.1252]
144 [0.1787,57.9624] [1.0079,75.0913]
145 [0.1725,52.1128] [1.0652,67.1320]
146 [0.1630,46.4355] [1.0909,59.5619]
147 [0.1693,40.9766] [1.1388,52.5066]
148 [0.1879,35.9114] [1.0842,46.2109]
149 [0.1841,31.3104] [1.0722,40.7759]
150 [0.1772,27.3251] [1.0797,36.2790]
151 [0.1795,23.9164] [1.1840,32.6254]
152 [0.1581,21.1781] [1.0939,30.2917]
153 [0.1490,19.2988] [1.1090,29.0123]
154 [0.1670,18.0960] [1.1893,28.5130]
155 [0.1535,17.3792] [1.1546,28.2172]
156 [0.1488,16.9875] [1.1544,28.0941]
157 [0.1313,16.8036] [1.1913,28.0239]
158 [0.1518,16.7422] [1.1694,27.9422]
159 [0.1481,16.6225] [1.1676,29.1195]
160 [0.1447,16.4816] [1.1761,29.6925]
161 [0.1436,16.2751] [1.1497,29.3231]
162 [0.1424,15.9445] [1.1459,28.8154]
163 [0.1417,15.5171] [1.1976,28.0841]
164 [0.1404,14.9493] [1.2249,27.1929]
165 [0.1458,14.5388] [1.2162,26.4117]
166 [0.1390,17.2059] [1.2778,36.0567]
167 [0.1485,26.5008] [1.2573,52.6732]
168 [0.1515,36.5687] [1.2801,69.1349]
169 [0.1438,46.8732] [1.2596,85.9086]
170 [0.1399,57.7846] [1.1981,103.2975]
171 [0.1356,69.4033] [1.2104,121.7702]
172 [0.1361,81.7391] [1.2127,140.7889]
173 [0.1315,94.4656] [1.1792,159.6980]
174 [0.1313,107.1831] [1.1564,177.6423]
175 [0.1469,118.7928] [1.2737,192.7447]
176 [0.1344,128.6023] [1.1515,205.0594]
177 [0.1293,136.7046] [1.1392,214.3875]
178 [0.1266,142.7418] [1.1258,220.3502]
179 [0.1364,146.5063] [1.1033,222.3976]
180 [0.1795,147.5552] [1.1849,219.8253]
181 [0.2068,144.7218] [1.2027,210.3710]
182 [0.1503,138.5763] [1.1551,198.1425]
183 [0.1237,130.8265] [1.1683,183.8327]
184 [0.1470,121.8975] [1.2335,167.9422]
185 [0.1501,111.9569] [1.1953,150.9118]
186 [0.1384,101.2526] [1.2051,133.3368]
187 [0.1412,92.0267] [1.2302,128.2514]
188 [0.1467,87.8011] [1.2748,121.8980]
189 [0.1551,83.4292] [1.2684,114.8319]
190 [0.1576,78.5520] [1.2529,107.0112]
191 [0.1575,73.1555] [1.3154,98.5635]
192 [0.1484,67.3916] [1.3216,89.7501]
193 [0.1592,61.3528] [1.3321,80.5275]
194 [0.1489,55.2163] [1.4228,71.2845]
195 [0.1951,49.0659] [1.4308,62.0270]
196 [0.1502,42.8611] [1.3986,53.0701]
197 [0.1674,37.4411] [1.5219,49.6808]
198 [0.1422,33.5645] [1.6277,44.2439]
199 [0.1925,29.8617] [1.7237,39.1265]
