epoch training validation
0 [7.5802,20.1213] [2.7144,7.8735]
1 [7.8376,19.7525] [2.7018,7.7839]
2 [8.0146,19.6181] [2.6882,7.6977]
3 [7.3212,20.0411] [2.6700,7.6116]
4 [7.7765,19.2429] [2.6591,7.5292]
5 [7.7763,19.6645] [2.6468,7.4373]
6 [7.1947,19.3371] [2.6381,7.3595]
7 [7.1998,18.8062] [2.6290,7.2769]
8 [7.6631,19.3525] [2.6168,7.1971]
9 [7.0946,18.6399] [2.6084,7.1245]
10 [6.8569,18.5622] [2.6011,7.0510]
11 [6.9523,18.6130] [2.5938,6.9773]
12 [7.0454,18.8154] [2.5890,6.9039]
13 [7.3014,18.5788] [2.5811,6.8347]
14 [6.6988,18.5574] [2.5785,6.7694]
15 [6.8302,18.7360] [2.5697,6.7106]
16 [6.8049,18.3339] [2.5590,6.6454]
17 [6.6158,17.9425] [2.5516,6.5846]
18 [7.0698,18.5179] [2.5429,6.5245]
19 [6.9353,17.9368] [2.5382,6.4693]
20 [6.8452,17.9700] [2.5330,6.4170]
21 [6.8124,17.8977] [2.5262,6.3625]
22 [6.4697,17.5725] [2.5175,6.3110]
23 [6.5908,17.4927] [2.5125,6.2618]
24 [6.4193,17.7905] [2.5131,6.2121]
25 [6.8547,17.5070] [2.5067,6.1590]
26 [6.3188,17.4652] [2.5068,6.1106]
27 [6.6828,17.5205] [2.4989,6.0616]
28 [6.4239,17.4198] [2.4928,6.0126]
29 [6.0836,17.5489] [2.4878,5.9657]
30 [5.8359,16.7692] [2.4877,5.9200]
31 [6.3356,17.1135] [2.4835,5.8763]
32 [6.2933,16.8215] [2.4796,5.8356]
33 [6.1101,17.2972] [2.4787,5.7910]
34 [6.4663,17.1886] [2.4723,5.7518]
35 [6.0031,17.0763] [2.4647,5.7111]
36 [6.1398,16.9920] [2.4550,5.6706]
37 [5.6742,17.0354] [2.4521,5.6345]
38 [6.0587,16.1574] [2.4497,5.5982]
39 [6.2462,16.7064] [2.4399,5.5616]
40 [5.5923,16.6707] [2.4304,5.5267]
41 [6.0494,16.3865] [2.4266,5.4927]
42 [5.6174,16.5512] [2.4191,5.4589]
43 [5.9127,16.4991] [2.4123,5.4209]
44 [6.0241,15.7865] [2.4105,5.3818]
45 [5.6240,15.6696] [2.4074,5.3415]
46 [5.7483,16.6823] [2.4016,5.3079]
47 [5.7286,15.9086] [2.3952,5.2803]
48 [5.9240,15.9457] [2.3802,5.2505]
49 [5.7819,15.3936] [2.3761,5.2216]
50 [5.7654,15.9472] [2.3670,5.1919]
51 [5.3196,15.5103] [2.3530,5.1611]
52 [5.1449,15.8283] [2.3386,5.1347]
53 [5.1151,15.2197] [2.3329,5.1054]
54 [5.4935,15.5187] [2.3213,5.0754]
55 [5.2866,15.2591] [2.3168,5.0448]
56 [5.3226,15.5566] [2.3101,5.0182]
57 [5.4324,15.6178] [2.3019,4.9903]
58 [5.2967,15.4791] [2.2935,4.9638]
59 [5.1144,15.5771] [2.2844,4.9340]
60 [5.0054,15.2323] [2.2763,4.9098]
61 [5.4103,14.8204] [2.2709,4.8847]
62 [5.2929,15.1844] [2.2640,4.8558]
63 [5.3162,15.1415] [2.2541,4.8303]
64 [5.0754,14.9959] [2.2478,4.8049]
65 [5.0131,14.6013] [2.2402,4.7754]
66 [5.0884,14.4629] [2.2296,4.7542]
67 [5.0628,14.2433] [2.2222,4.7256]
68 [4.8563,14.9612] [2.2139,4.7012]
69 [5.1697,13.9275] [2.2049,4.6741]
70 [5.2268,14.0641] [2.1931,4.6532]
71 [4.9300,14.2166] [2.1856,4.6335]
72 [5.0173,14.4738] [2.1740,4.6089]
73 [4.7211,14.1805] [2.1600,4.5916]
74 [4.7368,13.9314] [2.1531,4.5694]
75 [4.9184,14.2726] [2.1443,4.5525]
76 [4.7630,13.9712] [2.1326,4.5304]
77 [4.8100,13.9680] [2.1251,4.5053]
78 [4.7422,13.6170] [2.1105,4.4863]
79 [4.6320,13.7110] [2.1064,4.4703]
80 [4.9839,13.5038] [2.1002,4.4497]
81 [4.7498,13.5386] [2.0890,4.4283]
82 [4.4939,14.2534] [2.0707,4.4148]
83 [4.4097,13.4190] [2.0632,4.3969]
84 [4.4839,13.4924] [2.0539,4.3812]
85 [4.6878,13.1868] [2.0426,4.3662]
86 [4.3656,13.2637] [2.0351,4.3466]
87 [4.5023,13.5464] [2.0222,4.3325]
88 [4.5049,12.9461] [2.0131,4.3171]
89 [4.4417,12.8180] [2.0041,4.3003]
90 [4.1813,13.0626] [1.9955,4.2833]
91 [4.3106,13.3405] [1.9843,4.2683]
92 [4.3491,12.8521] [1.9774,4.2582]
93 [4.4053,13.3619] [1.9684,4.2410]
94 [4.3524,13.5654] [1.9560,4.2212]
95 [4.0254,12.8262] [1.9439,4.2102]
96 [4.3758,13.1085] [1.9306,4.1964]
97 [4.0064,12.9609] [1.9248,4.1779]
98 [4.2138,12.4582] [1.9198,4.1616]
99 [4.0014,12.9460] [1.9109,4.1478]
