epoch training validation
0 0.7836 0.7835
1 0.3875 0.3265
2 0.3398 0.3160
3 0.3272 0.3196
4 0.3191 0.3123
5 0.3135 0.3151
6 0.3096 0.2949
7 0.3056 0.3177
8 0.3022 0.2995
9 0.2995 0.2929
10 0.2978 0.2875
11 0.2953 0.2794
12 0.2932 0.2795
13 0.2908 0.2855
14 0.2884 0.2777
15 0.2872 0.2867
16 0.2865 0.2808
17 0.2841 0.2750
18 0.2825 0.2762
19 0.2808 0.2916
20 0.2799 0.2749
21 0.2798 0.2766
22 0.2787 0.2779
23 0.2777 0.2780
24 0.2763 0.2820
25 0.2755 0.2942
26 0.2748 0.2999
27 0.2741 0.2737
28 0.2735 0.2900
29 0.2729 0.2868
30 0.2716 0.2699
31 0.2704 0.2801
32 0.2700 0.2867
33 0.2689 0.2740
34 0.2682 0.2850
35 0.2684 0.2740
36 0.2678 0.2735
37 0.2669 0.2837
38 0.2666 0.2832
39 0.2662 0.2853
40 0.2662 0.2765
41 0.2662 0.2767
42 0.2579 0.2647
43 0.2560 0.2648
44 0.2552 0.2644
45 0.2546 0.2641
46 0.2541 0.2637
47 0.2536 0.2644
48 0.2533 0.2644
49 0.2530 0.2638
50 0.2529 0.2644
51 0.2527 0.2641
52 0.2520 0.2644
53 0.2519 0.2637
54 0.2516 0.2641
55 0.2514 0.2640
56 0.2510 0.2642
57 0.2512 0.2642
58 0.2508 0.2638
59 0.2503 0.2646
60 0.2501 0.2637
61 0.2503 0.2646
62 0.2497 0.2632
63 0.2496 0.2639
64 0.2497 0.2643
65 0.2493 0.2647
66 0.2489 0.2636
67 0.2489 0.2641
68 0.2487 0.2640
69 0.2486 0.2640
70 0.2483 0.2643
71 0.2479 0.2636
72 0.2479 0.2638
73 0.2478 0.2643
74 0.2475 0.2638
75 0.2473 0.2648
76 0.2473 0.2643
77 0.2472 0.2647
78 0.2470 0.2639
79 0.2471 0.2653
80 0.2464 0.2661
81 0.2468 0.2639
