epoch training validation
-1 4.4969 4.5109
0 4.4969 4.5109
1 4.4969 4.5110
2 1.4762 0.7764
3 0.6769 0.6075
4 0.5362 0.4974
5 0.4558 0.4133
6 0.3808 0.3599
7 0.3436 0.3326
8 0.3235 0.3190
9 0.3114 0.3059
10 0.3034 0.3000
11 0.2980 0.2964
12 0.2938 0.2924
13 0.2898 0.2909
14 0.2868 0.2886
15 0.2832 0.2824
16 0.2804 0.2826
17 0.2772 0.2767
18 0.2742 0.2767
19 0.2711 0.2701
20 0.2686 0.2700
21 0.2661 0.2659
22 0.2638 0.2637
23 0.2617 0.2618
24 0.2595 0.2586
25 0.2578 0.2569
26 0.2562 0.2560
27 0.2545 0.2578
28 0.2530 0.2527
29 0.2515 0.2521
30 0.2501 0.2498
31 0.2490 0.2487
32 0.2472 0.2481
33 0.2462 0.2444
34 0.2448 0.2472
35 0.2432 0.2442
36 0.2421 0.2437
37 0.2407 0.2406
38 0.2397 0.2400
39 0.2383 0.2383
40 0.2372 0.2374
41 0.2360 0.2362
42 0.2351 0.2356
43 0.2339 0.2338
44 0.2330 0.2329
45 0.2321 0.2323
46 0.2311 0.2310
47 0.2301 0.2300
48 0.2294 0.2290
49 0.2285 0.2288
50 0.2276 0.2294
51 0.2268 0.2269
52 0.2261 0.2257
53 0.2254 0.2257
54 0.2246 0.2246
55 0.2238 0.2247
56 0.2230 0.2244
57 0.2227 0.2262
58 0.2219 0.2245
59 0.2210 0.2215
60 0.2204 0.2212
61 0.2198 0.2206
62 0.2191 0.2203
63 0.2185 0.2190
64 0.2179 0.2193
65 0.2176 0.2182
66 0.2169 0.2177
67 0.2163 0.2168
68 0.2158 0.2159
69 0.2151 0.2158
70 0.2144 0.2151
71 0.2140 0.2144
72 0.2137 0.2140
73 0.2128 0.2130
74 0.2126 0.2129
75 0.2121 0.2133
76 0.2116 0.2126
77 0.2110 0.2124
78 0.2108 0.2107
79 0.2103 0.2114
80 0.2098 0.2113
81 0.2095 0.2101
82 0.2090 0.2094
83 0.2088 0.2107
84 0.2082 0.2088
85 0.2078 0.2077
86 0.2075 0.2089
87 0.2074 0.2089
88 0.2067 0.2075
89 0.2066 0.2072
90 0.2060 0.2065
91 0.2057 0.2068
92 0.2055 0.2083
93 0.2052 0.2071
94 0.2050 0.2054
95 0.2048 0.2052
96 0.2043 0.2050
97 0.2040 0.2050
98 0.2040 0.2048
99 0.2037 0.2046
100 0.2033 0.2038
101 0.2027 0.2038
102 0.2028 0.2035
103 0.2024 0.2032
104 0.2020 0.2027
105 0.2018 0.2033
106 0.2018 0.2031
107 0.2016 0.2024
108 0.2013 0.2020
109 0.2009 0.2021
110 0.2008 0.2011
111 0.2004 0.2014
112 0.2002 0.2020
113 0.2001 0.2013
114 0.1997 0.2007
115 0.1996 0.2007
116 0.1993 0.2010
117 0.1991 0.2003
118 0.1990 0.2000
119 0.1988 0.1991
120 0.1985 0.1993
121 0.1983 0.1994
122 0.1980 0.1989
123 0.1982 0.1986
124 0.1978 0.1987
125 0.1975 0.1981
126 0.1973 0.1984
127 0.1972 0.1984
128 0.1968 0.1983
129 0.1970 0.1980
130 0.1967 0.1974
131 0.1962 0.1973
132 0.1963 0.1973
133 0.1960 0.1970
134 0.1959 0.1969
135 0.1957 0.1967
136 0.1956 0.1967
137 0.1955 0.1975
138 0.1953 0.1969
139 0.1952 0.1969
140 0.1948 0.1954
141 0.1950 0.1956
142 0.1949 0.1972
143 0.1944 0.1952
144 0.1942 0.1949
145 0.1941 0.1950
146 0.1939 0.1952
147 0.1938 0.1947
148 0.1939 0.1946
149 0.1935 0.1944
150 0.1936 0.1947
151 0.1932 0.1950
152 0.1932 0.1943
153 0.1929 0.1957
154 0.1929 0.1940
155 0.1928 0.1936
156 0.1924 0.1939
157 0.1924 0.1941
158 0.1924 0.1930
159 0.1921 0.1933
160 0.1919 0.1930
161 0.1919 0.1936
162 0.1915 0.1928
163 0.1917 0.1924
164 0.1915 0.1929
165 0.1913 0.1927
166 0.1912 0.1925
167 0.1909 0.1919
168 0.1910 0.1918
169 0.1907 0.1917
170 0.1906 0.1917
171 0.1906 0.1914
172 0.1904 0.1914
173 0.1903 0.1911
174 0.1901 0.1921
175 0.1901 0.1907
176 0.1901 0.1918
177 0.1898 0.1909
178 0.1896 0.1913
179 0.1896 0.1906
180 0.1895 0.1912
181 0.1893 0.1903
182 0.1894 0.1904
183 0.1891 0.1901
184 0.1892 0.1908
185 0.1888 0.1900
186 0.1887 0.1901
187 0.1886 0.1902
188 0.1887 0.1894
189 0.1884 0.1901
190 0.1882 0.1903
191 0.1880 0.1894
192 0.1880 0.1903
193 0.1879 0.1889
194 0.1879 0.1890
195 0.1878 0.1894
196 0.1877 0.1888
197 0.1874 0.1896
198 0.1874 0.1887
199 0.1872 0.1886
200 0.1874 0.1883
