epoch training validation
0 [9.2960,21.3950] [4.8948,8.4021]
1 [9.1184,20.7672] [4.7686,8.3301]
2 [8.5873,20.5959] [4.6577,8.2553]
3 [9.4259,20.4267] [4.5486,8.1808]
4 [8.3126,20.4253] [4.4512,8.1122]
5 [9.1584,19.9951] [4.3424,8.0410]
6 [8.1398,20.1895] [4.2420,7.9722]
7 [8.4059,19.6983] [4.1409,7.9092]
8 [8.6137,20.2289] [4.0410,7.8478]
9 [8.6083,20.2224] [3.9453,7.7834]
10 [8.7548,19.6711] [3.8569,7.7201]
11 [8.4495,20.2554] [3.7775,7.6632]
12 [8.9599,19.6685] [3.6979,7.6017]
13 [8.0021,19.8075] [3.6197,7.5389]
14 [7.5493,19.6721] [3.5449,7.4816]
15 [8.1016,19.8132] [3.4694,7.4232]
16 [8.3401,18.9497] [3.4029,7.3612]
17 [7.6553,18.7774] [3.3431,7.3035]
18 [8.1044,19.0706] [3.2898,7.2483]
19 [7.3211,19.4035] [3.2335,7.1889]
20 [7.5538,19.0483] [3.1799,7.1329]
21 [7.5695,19.3993] [3.1244,7.0771]
22 [8.0105,19.5544] [3.0671,7.0156]
23 [7.1137,18.9233] [3.0253,6.9622]
24 [7.1677,18.3722] [2.9803,6.9087]
25 [7.2323,17.9586] [2.9399,6.8605]
26 [7.5709,18.0870] [2.8993,6.8101]
27 [7.4629,17.9184] [2.8615,6.7604]
28 [6.8276,18.8785] [2.8302,6.7145]
29 [6.6447,18.2320] [2.7993,6.6605]
30 [6.7496,18.3869] [2.7725,6.6123]
31 [6.4602,18.5933] [2.7432,6.5635]
32 [6.6184,18.0093] [2.7115,6.5164]
33 [6.6433,17.8931] [2.6828,6.4716]
34 [6.4258,18.6208] [2.6551,6.4218]
35 [6.1399,17.8183] [2.6273,6.3775]
36 [6.4490,18.0001] [2.6080,6.3296]
37 [6.7210,17.0866] [2.5829,6.2847]
38 [6.1448,17.4502] [2.5612,6.2384]
39 [6.0999,17.8927] [2.5426,6.1960]
40 [6.4470,18.0127] [2.5265,6.1577]
41 [6.2246,17.3287] [2.5134,6.1151]
42 [5.9197,16.9506] [2.5012,6.0733]
43 [6.3633,17.4393] [2.4854,6.0358]
44 [6.0778,17.3679] [2.4691,5.9957]
45 [6.0998,17.7801] [2.4530,5.9550]
46 [6.0431,17.1116] [2.4373,5.9118]
47 [6.0629,17.2540] [2.4234,5.8737]
48 [5.7323,16.7116] [2.4133,5.8347]
49 [5.8340,16.5103] [2.3983,5.7962]
50 [5.8440,17.3799] [2.3884,5.7577]
51 [5.6593,17.0032] [2.3748,5.7200]
52 [5.6726,17.1035] [2.3621,5.6869]
53 [5.7776,16.8762] [2.3510,5.6511]
54 [5.3901,16.2370] [2.3427,5.6130]
55 [5.8880,16.9364] [2.3342,5.5773]
56 [5.7172,16.0857] [2.3251,5.5458]
57 [5.3209,16.2068] [2.3217,5.5123]
58 [5.0275,16.4906] [2.3179,5.4784]
59 [5.7218,16.5842] [2.3082,5.4457]
60 [5.4711,16.5912] [2.3021,5.4138]
61 [5.5170,15.8145] [2.2931,5.3831]
62 [5.4342,16.0108] [2.2847,5.3529]
63 [5.3317,15.7846] [2.2778,5.3252]
64 [5.3408,15.6900] [2.2701,5.2912]
65 [5.1326,16.2491] [2.2651,5.2579]
66 [5.1428,16.1901] [2.2625,5.2267]
67 [5.2493,15.1029] [2.2551,5.1982]
68 [5.1391,15.8949] [2.2483,5.1711]
69 [5.1567,15.5126] [2.2424,5.1417]
70 [5.1788,15.2596] [2.2376,5.1150]
71 [4.8115,15.2523] [2.2318,5.0886]
72 [4.8236,15.0423] [2.2255,5.0632]
73 [4.6987,15.1054] [2.2199,5.0327]
74 [5.0416,15.3077] [2.2074,5.0059]
75 [4.8639,14.8819] [2.2006,4.9783]
76 [4.8153,15.4006] [2.1947,4.9505]
77 [4.7539,14.5854] [2.1907,4.9264]
78 [4.7645,15.1957] [2.1835,4.8978]
79 [4.7286,14.8142] [2.1793,4.8742]
80 [4.9393,15.1591] [2.1734,4.8511]
81 [4.7626,14.3609] [2.1637,4.8248]
82 [4.4146,15.0933] [2.1554,4.8004]
83 [4.7496,14.6342] [2.1454,4.7801]
84 [4.7755,14.8621] [2.1410,4.7602]
85 [4.2806,14.5698] [2.1356,4.7393]
86 [4.6316,14.2790] [2.1253,4.7136]
87 [4.3461,14.6117] [2.1127,4.6933]
88 [4.3268,13.9704] [2.1054,4.6682]
89 [4.3719,14.7604] [2.0958,4.6456]
90 [3.9046,14.7078] [2.0843,4.6208]
91 [4.5861,14.3095] [2.0740,4.5979]
92 [4.3995,13.9785] [2.0634,4.5786]
93 [4.9392,14.4524] [2.0528,4.5626]
94 [4.2274,13.8024] [2.0425,4.5457]
95 [4.2828,14.1717] [2.0324,4.5200]
96 [4.3305,14.0760] [2.0266,4.4987]
97 [4.3612,14.6741] [2.0221,4.4768]
98 [4.1049,13.5870] [2.0176,4.4596]
99 [4.2658,14.1670] [2.0111,4.4381]
