epoch training validation
0 [0.7694,2.2453] [0.7227,2.3344]
1 [0.6860,2.4776] [0.6687,2.4959]
2 [0.6533,3.7466] [0.6578,3.5182]
3 [0.6418,7.4038] [0.6632,10.6226]
4 [0.6437,14.0360] [0.7166,29.1940]
5 [0.6501,27.0673] [0.7029,61.6514]
6 [0.6481,51.3249] [0.7198,105.1990]
7 [0.6735,82.1951] [0.6650,149.7467]
8 [0.6820,111.5422] [0.6690,189.4992]
9 [0.6987,135.7661] [0.6582,220.3599]
10 [0.7243,153.5842] [0.7738,241.0748]
11 [0.7346,164.5517] [0.7649,251.8262]
12 [0.7411,168.7659] [0.9642,252.8099]
13 [0.7965,166.9693] [1.0052,245.2691]
14 [0.7427,159.4464] [0.8143,230.2266]
15 [0.7769,147.6226] [0.8304,210.0878]
16 [0.8009,132.8510] [0.6904,186.2944]
17 [0.7895,115.8472] [0.7672,160.3905]
18 [0.8018,98.0788] [0.7494,133.8530]
19 [0.8067,81.5122] [0.7351,120.3428]
20 [0.7939,86.5131] [0.6728,150.5806]
21 [0.7643,107.9734] [0.7778,184.2180]
22 [0.8326,128.2784] [0.7934,213.4769]
23 [0.7979,145.5692] [0.6633,238.5732]
24 [0.8619,160.4707] [1.0020,259.2008]
25 [0.8561,172.0864] [0.7644,275.3410]
26 [0.8203,181.3840] [0.7279,288.0275]
27 [0.8408,188.3647] [0.7792,297.2215]
28 [0.8620,193.3259] [1.1437,303.3846]
29 [0.8636,196.1548] [0.6680,305.9111]
30 [0.8674,196.6041] [0.6826,305.1208]
31 [0.9013,195.3214] [0.8142,302.2372]
32 [0.8928,192.6057] [0.7273,296.6845]
33 [0.8992,188.1794] [0.7459,289.0938]
34 [0.9088,182.6023] [0.9047,279.8130]
35 [0.9242,175.9676] [0.7085,268.9234]
36 [0.8632,168.3533] [0.6850,256.4943]
37 [0.8751,159.9829] [0.6983,243.4585]
38 [0.8523,151.5409] [0.6903,230.5184]
39 [0.8683,143.1809] [0.6701,217.5236]
40 [0.8377,134.7500] [0.6951,204.9039]
41 [0.8821,126.6828] [0.6766,192.6128]
42 [0.8639,118.7420] [0.7876,180.8067]
43 [0.8474,111.3488] [0.7295,169.8268]
44 [0.8603,104.4815] [0.9248,159.6844]
45 [0.8604,98.2481] [0.9771,150.3853]
46 [0.8177,92.4643] [0.7523,141.9901]
47 [0.7852,87.5795] [0.9083,134.7144]
48 [0.7902,83.3150] [0.8518,128.5039]
49 [0.7746,79.7734] [0.7343,123.1468]
50 [0.7698,76.8242] [0.9714,118.4714]
51 [0.7325,74.2665] [0.7667,114.2061]
52 [0.7161,72.1013] [0.7558,110.3867]
