epoch training validation
0 [10.4309,20.3647] [4.7424,9.4788]
1 [10.2319,20.3666] [4.6223,9.3624]
2 [10.2633,20.3897] [4.5091,9.2556]
3 [9.8184,19.9346] [4.4031,9.1490]
4 [9.9654,19.7402] [4.2921,9.0520]
5 [10.1140,19.1996] [4.1889,8.9492]
6 [9.0262,19.5429] [4.0918,8.8497]
7 [9.0454,19.7672] [4.0113,8.7504]
8 [9.8029,19.1979] [3.9237,8.6435]
9 [9.2081,19.2826] [3.8310,8.5457]
10 [9.0411,19.0824] [3.7524,8.4551]
11 [8.7529,18.9258] [3.6716,8.3579]
12 [8.5734,18.7441] [3.5929,8.2710]
13 [8.9510,19.5790] [3.5191,8.1808]
14 [8.7513,18.6409] [3.4540,8.0981]
15 [9.0505,19.0382] [3.3803,8.0155]
16 [8.2007,18.2121] [3.3076,7.9326]
17 [8.5166,18.7142] [3.2492,7.8509]
18 [8.3307,18.2664] [3.1890,7.7663]
19 [8.8159,18.4759] [3.1282,7.6865]
20 [8.0475,18.1202] [3.0668,7.6029]
21 [8.4600,18.4253] [3.0081,7.5236]
22 [8.1542,18.5387] [2.9498,7.4476]
23 [8.6773,17.6887] [2.8951,7.3727]
24 [7.8462,17.4960] [2.8421,7.3050]
25 [8.0973,18.1487] [2.7948,7.2328]
26 [7.8431,17.5463] [2.7444,7.1579]
27 [7.7454,17.2778] [2.6968,7.0910]
28 [8.1726,17.6006] [2.6480,7.0214]
29 [7.7007,16.7796] [2.6054,6.9541]
30 [7.6526,17.3854] [2.5642,6.8921]
31 [7.7070,17.2828] [2.5258,6.8225]
32 [7.4033,17.2085] [2.4854,6.7594]
33 [7.6479,17.0351] [2.4506,6.7035]
34 [7.4268,17.1086] [2.4122,6.6419]
35 [7.2416,17.1682] [2.3823,6.5805]
36 [6.8092,16.4257] [2.3518,6.5163]
37 [7.1624,16.3562] [2.3199,6.4550]
38 [7.0337,16.1888] [2.2896,6.4037]
39 [7.0307,16.4832] [2.2648,6.3476]
40 [7.5349,15.7802] [2.2372,6.2930]
41 [7.7348,16.2585] [2.2069,6.2391]
42 [7.0365,15.2490] [2.1827,6.1895]
43 [7.4115,15.4170] [2.1582,6.1436]
44 [7.0923,16.1860] [2.1332,6.0959]
45 [6.3875,16.3449] [2.1161,6.0497]
46 [6.6815,15.5463] [2.0915,6.0067]
47 [6.8423,15.6955] [2.0705,5.9584]
48 [6.3391,15.7411] [2.0463,5.9139]
49 [6.7308,15.4156] [2.0271,5.8740]
50 [6.7003,15.6814] [2.0056,5.8291]
51 [6.6511,16.1420] [1.9906,5.7849]
52 [6.0790,15.0993] [1.9761,5.7380]
53 [5.9249,15.5612] [1.9592,5.6941]
54 [6.2771,15.0539] [1.9434,5.6536]
55 [6.4613,14.6966] [1.9344,5.6165]
56 [5.8980,14.8394] [1.9184,5.5776]
57 [6.2083,15.1802] [1.9041,5.5447]
58 [6.3591,15.0636] [1.8920,5.5049]
59 [6.1675,14.9153] [1.8809,5.4657]
60 [5.8071,15.1629] [1.8664,5.4290]
61 [5.8316,14.3055] [1.8501,5.3924]
62 [6.1929,14.5366] [1.8356,5.3594]
63 [5.7739,14.5291] [1.8230,5.3264]
64 [5.6868,14.5897] [1.8105,5.2898]
65 [5.6226,14.3183] [1.7987,5.2544]
66 [5.9296,14.8183] [1.7896,5.2266]
67 [5.6847,14.8279] [1.7748,5.1928]
68 [5.9205,14.7442] [1.7645,5.1597]
69 [5.4159,14.6352] [1.7552,5.1286]
70 [5.8762,13.4264] [1.7469,5.0947]
71 [5.6371,14.1095] [1.7364,5.0639]
72 [5.5781,13.8079] [1.7303,5.0319]
73 [5.4829,14.2781] [1.7262,5.0034]
74 [5.4296,13.7392] [1.7195,4.9771]
75 [5.8778,13.9351] [1.7126,4.9523]
76 [5.3793,14.1525] [1.7099,4.9260]
77 [5.5538,13.8540] [1.7035,4.8976]
78 [5.4900,13.9277] [1.6945,4.8696]
79 [5.6058,13.7100] [1.6859,4.8427]
80 [5.2381,13.6452] [1.6745,4.8154]
81 [5.2039,13.7345] [1.6663,4.7894]
82 [5.2767,13.1322] [1.6625,4.7678]
83 [5.0000,13.9080] [1.6556,4.7439]
84 [5.1858,12.7634] [1.6440,4.7180]
85 [4.8597,13.3844] [1.6386,4.6918]
86 [5.2277,13.0759] [1.6337,4.6682]
87 [5.2217,12.9994] [1.6262,4.6506]
88 [5.2121,13.2059] [1.6181,4.6260]
89 [5.1328,13.4161] [1.6160,4.5998]
90 [5.0072,13.4212] [1.6091,4.5745]
91 [4.9062,13.3504] [1.6079,4.5545]
92 [4.8093,13.1585] [1.6016,4.5318]
93 [4.7187,12.4141] [1.5917,4.5125]
94 [4.9539,12.8063] [1.5917,4.4941]
95 [4.8850,12.8372] [1.5802,4.4692]
96 [4.6161,12.6189] [1.5740,4.4514]
97 [4.8027,12.9052] [1.5729,4.4344]
98 [4.4604,12.4280] [1.5680,4.4157]
99 [5.0272,12.4856] [1.5642,4.3959]
