epoch training validation
0 [0.7873,1.8776] [0.8725,1.9798]
1 [0.6822,1.8757] [0.6880,1.9500]
2 [0.6486,1.8691] [0.6396,1.9307]
3 [0.6432,1.8665] [0.6103,1.9112]
4 [0.6422,1.8615] [0.5930,1.8942]
5 [0.6392,1.8584] [0.5824,1.8785]
6 [0.6387,1.8556] [0.5728,1.8661]
7 [0.6354,1.8517] [0.5625,1.8586]
8 [0.6330,1.8499] [0.5527,1.8522]
9 [0.6275,1.8492] [0.5384,1.8492]
10 [0.6210,1.8486] [0.5224,1.8495]
11 [0.6116,1.8520] [0.5057,1.8528]
12 [0.6019,1.8557] [0.4909,1.8590]
13 [0.5891,1.8596] [0.4896,1.8702]
14 [0.5723,1.8662] [0.5092,1.8817]
15 [0.5503,1.8769] [0.5218,1.9016]
16 [0.5317,1.8951] [0.5719,1.9347]
17 [0.5213,1.9232] [0.6089,1.9730]
18 [0.5060,1.9551] [0.6936,2.0226]
19 [0.4969,2.0007] [0.7933,2.0996]
20 [0.4838,2.0681] [0.9282,2.2256]
21 [0.4732,2.1566] [0.9863,2.4236]
22 [0.4660,2.2921] [1.0785,2.7499]
23 [0.4572,2.4790] [1.1642,3.2228]
24 [0.4480,2.7717] [1.4000,4.0271]
25 [0.4405,3.2354] [1.5610,5.5104]
26 [0.4384,4.2741] [1.6983,8.8227]
27 [0.4332,7.0137] [1.7850,14.8976]
28 [0.4317,11.7329] [1.6583,21.7594]
29 [0.4232,16.8541] [1.5317,27.4764]
30 [0.4210,21.1953] [1.4010,31.5629]
31 [0.4154,24.2398] [1.2663,33.7672]
32 [0.4202,25.7864] [1.3254,34.3533]
33 [0.4130,26.0974] [1.2081,33.6154]
34 [0.4040,25.4398] [1.1742,31.9963]
35 [0.3975,24.1140] [1.2207,29.7811]
36 [0.3910,22.3309] [1.1034,27.1559]
37 [0.3780,20.2385] [1.2652,24.2978]
38 [0.3860,17.9573] [1.2504,21.3126]
39 [0.3748,15.6277] [1.2332,18.3636]
40 [0.3821,13.3487] [1.3381,15.5410]
41 [0.3768,11.2881] [1.3005,13.1215]
42 [0.3782,9.4945] [1.1989,10.9379]
43 [0.3935,7.8320] [1.0658,8.8788]
44 [0.3727,6.3084] [0.8445,7.0335]
45 [0.3595,5.0918] [0.7784,5.6348]
46 [0.3417,4.2656] [0.8279,4.7006]
47 [0.3368,3.7436] [0.7907,4.1325]
48 [0.3271,3.4202] [0.7967,3.7648]
49 [0.3137,3.1945] [0.8522,3.5091]
50 [0.3091,3.0431] [0.8934,3.3295]
51 [0.3064,2.9296] [0.9015,3.2253]
52 [0.2931,2.8823] [0.9268,3.1872]
53 [0.3016,2.8811] [0.9707,3.2255]
54 [0.2887,2.9425] [0.9015,3.3542]
55 [0.2885,3.0503] [1.0192,3.5268]
56 [0.2690,3.2059] [0.9771,3.7571]
57 [0.2637,3.3863] [0.9930,4.0100]
58 [0.2671,3.5940] [1.1471,4.2595]
59 [0.2664,3.7975] [1.0408,4.5492]
