epoch training validation
0 [9.1576,20.7236] [4.0249,8.6587]
1 [9.0776,20.4173] [3.8837,8.5505]
2 [9.5403,21.0116] [3.7551,8.4302]
3 [9.4075,20.4581] [3.6214,8.3185]
4 [9.4824,20.2053] [3.4930,8.2079]
5 [8.9956,20.0805] [3.3770,8.0948]
6 [8.7096,19.6531] [3.2657,7.9857]
7 [8.7639,19.2701] [3.1476,7.8886]
8 [8.3629,20.2763] [3.0554,7.7900]
9 [8.3447,19.4495] [2.9484,7.6887]
10 [8.5308,19.8990] [2.8538,7.5951]
11 [7.9912,19.4986] [2.7765,7.4992]
12 [8.1185,20.4578] [2.6960,7.4077]
13 [8.3850,19.4539] [2.6151,7.3212]
14 [7.4707,19.0827] [2.5402,7.2447]
15 [7.3982,19.0134] [2.4628,7.1681]
16 [7.2706,18.3710] [2.3818,7.0912]
17 [7.4428,19.1929] [2.3101,7.0185]
18 [7.4160,18.7775] [2.2398,6.9462]
19 [7.6165,18.3847] [2.1860,6.8842]
20 [6.9630,18.0883] [2.1353,6.8143]
21 [7.1870,18.2475] [2.0845,6.7469]
22 [7.1787,18.4557] [2.0416,6.6892]
23 [6.9982,18.6561] [2.0025,6.6274]
24 [7.2425,18.6556] [1.9667,6.5637]
25 [6.9744,18.4250] [1.9313,6.5021]
26 [7.2547,18.2121] [1.9029,6.4466]
27 [7.0499,17.5108] [1.8782,6.3897]
28 [6.3333,18.1617] [1.8583,6.3276]
29 [6.6880,17.4726] [1.8381,6.2733]
30 [6.9255,18.4350] [1.8171,6.2244]
31 [6.7229,17.6539] [1.8008,6.1761]
32 [6.8122,17.0339] [1.7892,6.1254]
33 [6.4712,17.7257] [1.7777,6.0669]
34 [5.8000,17.4301] [1.7637,6.0156]
35 [5.8813,17.5243] [1.7499,5.9618]
36 [6.2181,17.2063] [1.7415,5.9193]
37 [6.2730,17.6369] [1.7277,5.8687]
38 [5.7686,16.7633] [1.7222,5.8174]
39 [5.6624,16.8682] [1.7107,5.7647]
40 [6.2247,16.9569] [1.6990,5.7150]
41 [5.9817,16.7673] [1.6916,5.6651]
42 [6.2061,16.8888] [1.6817,5.6189]
43 [5.7631,16.6339] [1.6738,5.5777]
44 [5.4709,16.8631] [1.6613,5.5313]
45 [5.8202,16.5144] [1.6514,5.4908]
46 [5.3755,16.1221] [1.6452,5.4469]
47 [6.1012,16.2558] [1.6382,5.4083]
48 [5.7696,15.9542] [1.6306,5.3610]
49 [5.7090,15.9705] [1.6240,5.3279]
50 [5.5116,16.0467] [1.6137,5.2964]
51 [5.4485,16.1461] [1.6041,5.2673]
52 [5.1098,16.4747] [1.6012,5.2317]
53 [5.1585,16.2407] [1.5933,5.1949]
54 [5.3322,16.0695] [1.5870,5.1602]
55 [5.4260,15.6881] [1.5848,5.1332]
56 [5.4891,15.4336] [1.5762,5.1009]
57 [5.4267,15.2477] [1.5703,5.0695]
58 [5.3440,15.3694] [1.5621,5.0448]
59 [4.9989,15.4496] [1.5560,5.0120]
60 [4.9349,14.7266] [1.5489,4.9735]
61 [4.7817,15.5166] [1.5401,4.9315]
62 [4.7675,14.9982] [1.5355,4.8976]
63 [5.1747,14.7816] [1.5254,4.8631]
64 [4.8326,15.0798] [1.5171,4.8321]
65 [4.9402,15.2105] [1.5135,4.8070]
66 [5.1056,14.6512] [1.5077,4.7748]
67 [5.0241,15.1173] [1.5001,4.7441]
68 [4.6709,14.9961] [1.4949,4.7133]
69 [4.9764,15.1597] [1.4877,4.6852]
70 [4.9121,14.7996] [1.4831,4.6552]
71 [4.2707,14.7871] [1.4795,4.6197]
72 [4.6294,14.4004] [1.4747,4.5916]
73 [4.5640,14.9622] [1.4668,4.5604]
74 [4.9673,13.9058] [1.4607,4.5416]
75 [4.3801,14.3787] [1.4521,4.5071]
76 [4.3828,14.4336] [1.4439,4.4711]
77 [4.6036,14.2836] [1.4378,4.4455]
78 [4.3709,14.1340] [1.4355,4.4156]
79 [4.5845,13.8593] [1.4296,4.3880]
80 [4.3467,13.8165] [1.4254,4.3608]
81 [4.3214,13.6198] [1.4209,4.3346]
82 [4.5799,14.0860] [1.4153,4.3087]
83 [4.3852,14.5621] [1.4100,4.2798]
84 [4.2497,13.4006] [1.4014,4.2540]
85 [4.2610,13.5890] [1.3947,4.2236]
86 [4.2020,13.7532] [1.3876,4.1925]
87 [4.3373,13.2859] [1.3797,4.1654]
88 [4.0312,13.3652] [1.3687,4.1434]
89 [4.0626,13.3319] [1.3586,4.1209]
90 [4.3276,13.1406] [1.3512,4.1002]
91 [4.2565,13.2355] [1.3480,4.0795]
92 [4.1646,13.1187] [1.3405,4.0512]
93 [4.2058,13.1680] [1.3319,4.0321]
94 [4.0895,13.1567] [1.3272,4.0203]
95 [3.9920,13.0765] [1.3169,4.0014]
96 [3.8027,13.3742] [1.3081,3.9847]
97 [3.8349,13.2631] [1.3025,3.9600]
98 [3.9324,12.7995] [1.2958,3.9375]
99 [4.1168,13.2101] [1.2938,3.9210]
