epoch training validation
0 [0.7685,1.8611] [0.8725,1.9798]
1 [0.6873,1.9041] [0.7693,1.9850]
2 [0.6544,2.0876] [0.7387,2.0358]
3 [0.6533,2.6736] [0.7220,2.3315]
4 [0.6491,5.2494] [0.7195,7.2168]
5 [0.6458,12.1971] [0.7085,27.8472]
6 [0.6540,26.8743] [0.5956,66.2510]
7 [0.6595,56.3904] [0.5846,118.7456]
8 [0.6687,94.9193] [0.6197,174.4668]
9 [0.6978,132.4999] [0.5950,224.4956]
10 [0.7095,165.1731] [0.6286,266.7162]
11 [0.7305,191.6128] [0.5889,297.8669]
12 [0.7743,209.9254] [0.6120,316.0095]
13 [0.7841,219.4360] [0.7664,321.6989]
14 [0.7848,220.7211] [0.6347,316.1249]
15 [0.8003,214.7641] [0.7812,301.3215]
16 [0.8700,202.8961] [1.2482,278.5964]
17 [0.8955,185.7284] [0.7329,249.8172]
18 [0.8671,165.1658] [0.8631,217.2451]
19 [0.9004,142.3002] [0.7695,182.6088]
20 [0.8631,119.3939] [0.6156,159.0986]
21 [0.9302,114.3304] [1.0877,176.7327]
22 [0.9106,132.4642] [0.7878,206.7666]
23 [0.9204,151.3912] [1.0785,232.8990]
24 [0.9121,167.7375] [1.2596,254.9235]
25 [0.9801,181.1015] [0.7076,272.2346]
26 [0.9673,191.6072] [0.7011,286.0196]
27 [0.9296,199.9530] [0.6774,296.8319]
28 [1.0059,206.4544] [0.7557,304.2445]
29 [1.0300,210.5060] [0.5784,308.6127]
30 [0.9498,212.6242] [0.5902,310.5144]
31 [1.0046,213.3287] [0.6764,310.6187]
32 [0.9959,212.7678] [0.8818,308.6038]
33 [0.9814,210.8494] [0.8513,305.0099]
34 [0.9840,208.1460] [0.5878,300.3578]
35 [1.0022,204.5812] [0.6600,294.0028]
36 [0.9743,199.7731] [0.5632,286.6122]
37 [0.9674,194.5777] [0.9269,278.1915]
38 [0.9364,188.4674] [0.5619,269.1574]
39 [1.0010,182.1729] [0.5631,259.2487]
40 [0.9608,174.9527] [0.5870,248.3356]
41 [0.9752,167.2488] [0.5656,236.9011]
42 [0.8995,159.2602] [0.5588,225.1309]
43 [0.9355,151.0717] [0.6953,213.3060]
44 [0.8995,142.8455] [0.5920,201.4722]
45 [0.9065,134.6746] [0.5914,189.9441]
46 [0.8844,126.9876] [0.5531,178.7668]
47 [0.9003,119.3035] [0.5685,167.6497]
48 [0.8283,111.8488] [0.8256,157.0564]
49 [0.8689,104.5388] [0.7477,147.0865]
50 [0.8888,97.6436] [0.5518,137.8434]
51 [0.8173,91.2460] [0.6221,129.5719]
52 [0.8324,85.6491] [0.5930,122.8204]
53 [0.7877,81.1165] [0.5577,117.3373]
54 [0.7263,77.3044] [0.5659,113.1130]
55 [0.7160,74.4283] [0.5547,109.7347]
56 [0.6717,72.2357] [0.5931,106.9085]
57 [0.6841,70.4631] [0.6264,104.5441]
58 [0.6596,69.1522] [0.6677,102.4451]
59 [0.6547,67.9630] [0.7252,100.6948]
60 [0.6368,67.0688] [0.6511,99.3224]
61 [0.6074,66.3078] [0.7795,98.3953]
62 [0.6192,65.8954] [0.8456,97.8534]
63 [0.6020,65.5788] [0.9020,97.5420]
64 [0.6002,65.3556] [0.7442,97.3757]
65 [0.5768,65.3063] [0.8211,97.4414]
66 [0.5991,65.2537] [0.8088,97.5394]
67 [0.5783,65.2323] [0.9279,97.5946]
68 [0.5755,65.1286] [0.8280,97.5223]
69 [0.5660,64.9621] [0.9259,97.2902]
70 [0.5707,64.6345] [0.9121,96.7737]
71 [0.5582,64.0475] [0.8911,95.8812]
72 [0.5548,63.2153] [1.1017,94.4886]
73 [0.5556,62.0064] [0.8636,92.4521]
74 [0.5441,60.3741] [0.9153,89.7738]
75 [0.5403,58.2945] [0.8213,86.3607]
76 [0.5433,55.7330] [0.8986,82.1892]
77 [0.5337,52.6259] [0.8793,77.2971]
78 [0.5427,49.0548] [0.7037,71.6998]
79 [0.5225,45.0806] [0.8357,65.5998]
80 [0.5226,41.9778] [0.6987,65.3561]
81 [0.5237,44.1424] [0.5255,73.0291]
82 [0.5016,48.4347] [0.5228,83.0899]
83 [0.5116,54.3080] [0.4910,94.5539]
84 [0.5043,60.8873] [0.4906,105.0070]
85 [0.4828,66.8883] [0.4886,112.7849]
86 [0.4931,71.3266] [0.4924,117.3268]
87 [0.4982,73.5009] [0.5243,117.7699]
88 [0.4952,73.1754] [0.5052,114.7020]
89 [0.4923,70.8157] [0.5435,108.6172]
90 [0.4978,66.6847] [0.5318,100.0972]
91 [0.5056,61.1474] [0.5122,89.7159]
92 [0.4891,54.8331] [0.5351,78.6005]
93 [0.4835,48.3545] [0.6134,67.5805]
94 [0.4949,42.0514] [0.6336,57.2289]
95 [0.4852,35.7448] [0.5467,47.0989]
96 [0.4932,28.8465] [0.5488,36.3952]
