epoch training validation
0 [0.7205,1.9702] [0.7451,2.0073]
1 [0.6575,1.9731] [0.6472,1.9823]
2 [0.6423,1.9920] [0.6354,1.9619]
3 [0.6376,2.0160] [0.6242,1.9553]
4 [0.6372,2.0546] [0.6201,1.9592]
5 [0.6355,2.1090] [0.6134,1.9879]
6 [0.6351,2.1862] [0.6103,2.0425]
7 [0.6332,2.3001] [0.6083,2.1547]
8 [0.6316,2.4828] [0.6085,2.4267]
9 [0.6295,2.8131] [0.6011,3.0850]
10 [0.6261,3.5316] [0.5793,5.1441]
11 [0.6169,5.5370] [0.5780,10.6709]
12 [0.6107,9.9625] [0.5374,18.5124]
13 [0.5960,16.3853] [0.5314,26.3399]
14 [0.5872,22.7111] [0.5278,31.8253]
15 [0.5757,26.6631] [0.5174,34.4558]
16 [0.5611,28.3968] [0.5176,34.9595]
17 [0.5401,28.4792] [0.5123,33.9899]
18 [0.5266,27.4628] [0.5185,32.0132]
19 [0.5124,25.6533] [0.5154,29.2998]
20 [0.4992,23.2834] [0.5416,26.1189]
21 [0.4772,20.6187] [0.5296,22.7452]
22 [0.4718,18.0119] [0.5447,19.7332]
23 [0.4578,15.8404] [0.5419,17.1895]
24 [0.4458,13.9025] [0.5570,15.0211]
25 [0.4342,12.8110] [0.5617,15.2301]
26 [0.4357,14.9309] [0.5489,20.1989]
27 [0.4171,19.6413] [0.5915,26.4499]
28 [0.4150,24.8167] [0.6037,32.9033]
29 [0.4098,29.9995] [0.5443,39.1404]
30 [0.3988,35.0676] [0.5523,45.1529]
31 [0.3851,39.8480] [0.5596,50.7334]
32 [0.3842,44.1745] [0.5681,55.4612]
33 [0.3783,47.7386] [0.5474,59.2685]
34 [0.3681,50.5320] [0.5650,62.0174]
35 [0.3693,52.3778] [0.6070,63.6499]
36 [0.3564,53.2436] [0.5804,63.9988]
37 [0.3539,53.0535] [0.5896,63.1366]
38 [0.3438,51.9116] [0.5818,61.2659]
39 [0.3455,49.9524] [0.5630,58.4553]
40 [0.3503,47.2626] [0.5824,54.8132]
41 [0.3382,43.9711] [0.5916,50.6296]
42 [0.3257,40.2692] [0.6185,46.0443]
43 [0.3331,36.3296] [0.6814,41.2953]
44 [0.3378,32.2515] [0.6197,36.4117]
45 [0.3375,28.1119] [0.5808,31.5652]
46 [0.3126,24.0939] [0.6299,26.9682]
47 [0.3170,20.3218] [0.5857,22.7417]
