epoch training validation
0 [0.6961,2.0611] [0.6991,2.0856]
1 [0.6641,2.2225] [0.6416,2.1768]
2 [0.6475,2.9883] [0.6257,2.6101]
3 [0.6449,5.9517] [0.6209,7.9992]
4 [0.6463,13.1780] [0.6260,28.8775]
5 [0.6476,28.4573] [0.6133,69.1293]
6 [0.6632,59.4983] [0.9177,124.9659]
7 [0.7103,98.1685] [0.9673,178.2388]
8 [0.7347,132.4943] [0.9233,223.0156]
9 [0.6967,160.4844] [0.7377,259.2160]
10 [0.7330,183.1412] [0.6592,286.9293]
11 [0.7436,199.4182] [0.6452,304.4283]
12 [0.7443,208.3171] [0.6082,310.7806]
13 [0.7571,210.3512] [0.7261,307.8631]
14 [0.7823,206.0860] [0.6367,296.0259]
15 [0.8129,196.0767] [0.6335,276.6982]
16 [0.8741,181.2913] [0.7482,250.6278]
17 [0.8098,162.1390] [0.6069,219.7705]
18 [0.8471,140.5529] [0.6088,186.0938]
19 [0.9029,117.1814] [0.6781,151.0234]
20 [0.9247,93.0930] [0.6057,115.4316]
21 [0.9338,70.4105] [0.6295,95.3097]
22 [0.8750,68.5767] [0.6655,114.4805]
23 [0.9574,84.8441] [0.6001,139.7238]
24 [0.9396,100.8135] [0.6686,162.1015]
25 [0.9171,114.2478] [0.6142,180.0883]
26 [0.9666,124.9791] [0.6333,194.2966]
27 [0.8757,133.2455] [0.6020,205.3648]
28 [0.9171,140.0600] [0.6778,214.8377]
29 [0.9411,145.4141] [0.6973,221.9931]
30 [0.9489,149.5238] [0.6373,226.9894]
31 [0.9569,152.2982] [0.9637,230.4946]
32 [0.9234,154.0786] [0.6650,232.4816]
33 [0.9279,155.2025] [0.7080,233.9489]
34 [0.9504,155.8082] [0.7634,234.5813]
35 [0.9358,156.0413] [0.5991,234.5118]
36 [0.8682,155.8769] [0.7157,234.2221]
37 [0.8632,155.6576] [0.6700,233.8572]
38 [0.8967,155.2684] [0.7589,233.0377]
39 [0.9287,154.4217] [0.6297,231.0005]
40 [0.9230,152.7291] [0.9308,227.7188]
