sid,tid,fid,ss,et,label,score
0,2,25,3,156,0,0.7381999492645264
0,28,5,2,404,1,0.9061967730522156
0,27,20,3,366,1,0.9872233867645264
0,9,25,2,230,1,0.9953382015228271
0,1,15,3,65,0,0.8759777545928955
0,91,5,3,62,0,0.8507378697395325
0,58,10,2,179,0,0.3440636694431305
0,9,15,2,230,1,0.9944804906845093
0,17,20,2,416,1,0.9964602589607239
0,88,5,3,229,1,0.0005751161370426416
0,22,20,2,250,1,0.8850261569023132
0,10,20,2,251,1,0.9972483515739441
0,65,15,2,59,1,0.8553324341773987
0,59,25,2,235,1,0.3407175540924072
0,7,15,2,193,1,0.9692326784133911
0,56,5,2,135,1,0.9486688375473022
0,86,25,3,174,0,0.0015060253208503127
0,79,15,3,303,1,0.6479623913764954
0,70,15,2,181,0,0.8826237320899963
0,68,0,2,148,0,0.05130736529827118
0,80,10,2,119,1,0.9666111469268799
0,56,15,2,135,1,0.8950933218002319
0,1,20,3,65,0,0.9740613102912903
0,91,10,3,62,0,0.9465301036834717
0,78,5,3,142,1,0.9072696566581726
0,82,15,3,206,1,0.24264517426490784
0,84,0,2,374,1,0.55075603723526
0,43,20,3,413,1,0.8360913395881653
0,25,20,2,346,1,0.9858452081680298
0,12,15,2,289,1,0.9510436058044434
0,50,5,2,310,1,0.9951152801513672
0,58,15,2,179,0,0.5175171494483948
0,64,0,2,374,1,0.19163313508033752
0,89,20,3,285,1,0.0004330116789788008
0,29,0,2,426,1,0.9930391907691956
0,82,20,3,206,1,0.5909063220024109
0,87,25,3,195,0,0.025045739486813545
0,31,15,2,88,1,0.6677709817886353
0,22,0,2,250,1,0.9177647829055786
0,81,15,2,183,1,0.9980379939079285
0,53,10,2,393,1,0.9977140426635742
0,65,20,2,59,1,0.9929015040397644
0,69,0,2,14,1,0.9750886559486389
0,1,5,3,65,0,0.9612048864364624
0,36,25,3,217,0,0.3436684310436249
0,54,20,2,99,1,0.5589108467102051
0,30,15,2,46,1,0.859869122505188
0,2,0,3,156,0,0.8050187230110168
0,45,0,2,119,1,0.9784456491470337
0,75,10,2,348,0,0.9899877905845642
0,6,15,2,170,1,0.9841338396072388
0,72,10,2,280,1,0.9962666630744934
0,56,20,2,135,1,0.991441547870636
0,53,0,2,393,1,0.992909848690033
0,67,25,2,116,0,0.00803584698587656
0,92,25,3,82,0,0.7615389227867126
0,66,20,2,77,1,0.17918583750724792
0,38,15,3,278,1,0.7843309640884399
0,24,25,3,325,1,0.7700135111808777
0,89,5,3,285,1,0.01290908269584179
0,7,5,2,193,1,0.8575667142868042
0,67,10,2,116,0,0.1722666174173355
0,82,5,3,206,1,0.44241616129875183
0,14,25,2,337,0,0.9767844080924988
0,55,25,2,119,1,0.9167250394821167
0,10,10,2,251,1,0.9252457022666931
0,3,25,3,306,1,0.9776286482810974
