epoch training validation
0 [0.6533,1.9459] [0.6601,1.9980]
1 [0.6421,2.0658] [0.6397,2.0548]
2 [0.6300,2.7724] [0.6369,2.5586]
3 [0.6269,5.7621] [0.6465,8.1476]
4 [0.6243,12.2184] [0.6303,26.3354]
5 [0.6251,25.8764] [0.6752,60.8009]
6 [0.6700,52.8451] [0.6286,105.3882]
7 [0.6437,85.3114] [0.6280,151.6377]
8 [0.6564,117.4498] [0.6285,194.9730]
9 [0.6731,146.0180] [0.6318,231.5657]
10 [0.6935,168.6283] [0.6844,257.6021]
11 [0.6982,183.8500] [0.8231,272.9520]
12 [0.7736,191.0305] [0.6626,275.1456]
13 [0.7728,189.1523] [0.6248,266.1303]
14 [0.7755,180.6682] [0.8273,248.8880]
15 [0.7839,166.7029] [0.7717,224.8362]
16 [0.7987,148.6592] [0.7195,196.2468]
17 [0.8181,127.9693] [0.6297,165.1423]
18 [0.8275,106.1667] [0.6454,133.5729]
19 [0.8204,84.3674] [0.6857,102.7347]
20 [0.8350,64.2264] [0.6323,83.0929]
21 [0.7950,66.4560] [0.6432,113.0079]
22 [0.7945,89.0565] [0.7524,149.0227]
23 [0.8121,110.0101] [0.7773,178.9362]
24 [0.8809,126.9007] [0.7670,202.1483]
25 [0.8267,140.0156] [0.9674,220.4701]
26 [0.8906,150.2520] [0.6332,234.2754]
27 [0.8421,157.9807] [0.7147,244.8418]
28 [0.8980,163.4196] [0.6547,251.3066]
29 [0.8423,166.4844] [0.6324,254.9004]
30 [0.8895,168.2255] [0.6275,256.7932]
31 [0.8722,168.5261] [0.6452,255.9281]
32 [0.8986,167.1262] [0.6292,252.6610]
33 [0.8491,164.2759] [0.6336,247.9470]
34 [0.8626,161.0192] [0.7354,242.7982]
35 [0.8615,157.4178] [0.6292,237.4927]
36 [0.8729,153.7054] [0.6580,231.8162]
37 [0.8559,149.8020] [0.6414,226.0790]
38 [0.8440,145.8079] [0.6341,220.3444]
39 [0.8435,141.8757] [0.7268,214.8492]
40 [0.8061,138.0715] [0.6492,209.7829]
41 [0.8203,134.4651] [0.6269,204.4994]
42 [0.8586,130.5823] [0.7163,198.6283]
43 [0.8012,126.5082] [0.6317,192.9390]
44 [0.7647,122.5996] [0.6417,187.3438]
45 [0.7519,118.8190] [0.6287,181.9883]
46 [0.7567,115.3049] [0.8552,176.7448]
47 [0.7617,111.8826] [0.8187,171.3627]
48 [0.7591,108.2840] [1.1089,165.7614]
49 [0.7647,104.5144] [0.9234,159.7786]
50 [0.7525,100.6924] [1.0221,153.5690]
51 [0.7388,96.6737] [0.8556,146.9800]
52 [0.7252,92.5561] [0.8192,140.4138]
53 [0.7413,88.4715] [0.7898,133.8228]
54 [0.7199,84.4134] [0.6831,127.3706]
55 [0.6944,80.5202] [0.7500,121.1429]
56 [0.7117,76.8200] [0.7266,115.1993]
57 [0.6839,73.2421] [0.7287,109.6290]
58 [0.7064,69.9339] [0.6793,104.4095]
59 [0.6976,66.8055] [0.6192,99.5470]
60 [0.6974,63.9172] [0.6422,94.9458]
61 [0.6712,61.1049] [0.6153,90.7533]
62 [0.6833,58.6082] [0.6473,86.8998]
63 [0.6515,56.2253] [0.6202,83.5152]
64 [0.6605,54.1585] [0.6248,80.5315]
65 [0.6568,52.3272] [0.6004,77.9051]
66 [0.6541,50.6747] [0.5941,75.5360]
67 [0.6558,49.1020] [0.5924,73.2806]
68 [0.6546,47.5403] [0.6155,70.9737]
69 [0.6338,45.9511] [0.6226,68.6298]
70 [0.6127,44.2996] [0.6233,66.2900]
71 [0.6326,42.6437] [0.5876,63.8200]
72 [0.6178,40.8103] [0.5781,61.1788]
73 [0.6080,38.8531] [0.6022,58.2854]
74 [0.6287,36.6938] [0.5751,55.0894]
75 [0.6058,34.2885] [0.5749,51.5640]
76 [0.5998,31.6929] [0.5696,47.7566]
77 [0.5909,28.9328] [0.5672,43.7221]
78 [0.5841,26.0109] [0.5687,39.5592]
79 [0.5944,23.2404] [0.5751,35.4821]
80 [0.5692,26.1832] [0.5727,46.9328]
81 [0.5889,37.4269] [0.5683,62.1815]
82 [0.5848,45.8949] [0.6103,73.5491]
83 [0.5912,52.4214] [0.6318,82.9139]
84 [0.5950,57.8217] [0.6502,90.9599]
85 [0.5780,62.4685] [0.8723,98.2687]
86 [0.5894,66.6617] [1.0246,104.8332]
87 [0.6025,70.5083] [1.1723,110.7392]
88 [0.5454,73.9977] [0.8975,116.1814]
89 [0.5669,77.5600] [1.0153,121.4378]
90 [0.5818,80.9262] [1.3091,126.2105]
91 [0.5805,83.8083] [1.4647,130.2020]
92 [0.6129,86.0542] [1.3680,132.6982]
93 [0.5584,87.5037] [1.5242,134.1365]
94 [0.5764,88.2946] [1.6372,134.5567]
95 [0.5859,88.4547] [1.3568,133.8388]
96 [0.5700,87.8305] [1.7329,132.2318]
97 [0.5730,86.6221] [1.7554,129.7968]
98 [0.5464,85.1079] [1.5913,127.1224]
99 [0.5523,83.3625] [2.1228,124.5781]
100 [0.5618,81.6413] [1.8766,122.1856]
101 [0.5724,80.1497] [1.4446,120.2742]
102 [0.5496,78.7712] [1.5015,119.1798]
103 [0.5582,77.7850] [1.7114,119.1253]
104 [0.5567,77.3160] [1.7459,120.1025]
105 [0.5454,77.1650] [1.5793,121.6865]
106 [0.5324,77.2329] [1.5310,124.0445]
107 [0.5495,77.2143] [1.7824,125.7266]
108 [0.5637,76.5999] [1.6957,125.8534]
109 [0.5775,74.9307] [2.2343,123.7763]
110 [0.5818,71.7896] [1.5334,118.4666]
111 [0.5819,67.2377] [1.5811,110.8151]
112 [0.5748,61.4475] [1.7237,101.3010]
113 [0.5685,54.8767] [1.9876,90.3489]
114 [0.5792,47.7748] [1.4391,78.7290]
115 [0.5654,40.7570] [1.6234,67.6131]
116 [0.5723,34.7070] [1.8481,59.0366]
117 [0.5935,30.2104] [1.5024,52.0699]
118 [0.5545,28.9254] [1.7771,47.8365]
119 [0.5931,28.4767] [1.3529,44.1590]
120 [0.5371,26.4077] [1.3853,40.5018]
121 [0.5484,22.8469] [1.3733,36.1875]
122 [0.5395,18.7064] [1.8400,30.1046]
123 [0.5333,14.2966] [1.3643,23.2336]
124 [0.5537,9.7467] [1.4165,16.2388]
125 [0.5384,6.0381] [1.6197,14.3286]
126 [0.5387,16.3328] [1.5149,48.0812]
127 [0.5126,43.7190] [1.7841,95.2758]
128 [0.5465,76.6866] [1.3442,148.5390]
129 [0.5539,113.6177] [1.8333,208.1884]
130 [0.5510,154.4678] [2.1593,272.7295]
131 [0.6160,197.7253] [1.8354,337.7032]
132 [0.6535,239.9513] [2.0107,397.9640]
133 [0.6550,277.0064] [1.9957,447.8488]
134 [0.7242,305.4792] [2.0114,481.3112]
135 [0.7613,321.7327] [2.1756,495.6490]
136 [0.8540,324.8599] [2.1050,489.5979]
137 [0.8017,315.5134] [1.2769,470.3712]
138 [0.8039,299.5821] [2.2639,443.3495]
139 [0.8337,278.7846] [3.5821,410.3830]
140 [0.8952,253.8515] [1.3346,370.5114]
141 [0.8337,225.9419] [2.2705,329.5014]
142 [0.7455,198.0750] [2.0641,289.6910]
143 [0.7352,172.2363] [2.1630,253.5751]
144 [0.7863,148.9555] [3.0034,221.0962]
145 [0.8250,127.8943] [3.0410,191.5485]
146 [0.6736,109.7209] [1.7081,167.2481]
147 [0.6749,96.0371] [3.6418,154.6053]
148 [0.6711,87.3193] [2.0564,143.6845]
149 [0.6277,81.2149] [1.9052,133.1759]
150 [0.6213,75.2213] [2.3396,122.1629]
151 [0.6324,68.9429] [2.3166,110.7318]
152 [0.6495,62.6266] [2.5352,99.5733]
153 [0.6006,56.6314] [2.4607,89.0298]
154 [0.5373,51.1335] [1.9781,79.7005]
155 [0.5645,46.3553] [2.0735,73.1653]
156 [0.5447,44.0870] [2.3094,76.1696]
157 [0.5338,46.0267] [2.0302,87.0640]
158 [0.5242,50.5557] [1.1823,97.3404]
159 [0.4770,54.5860] [0.9250,102.6146]
160 [0.4521,57.3065] [0.8826,104.4924]
161 [0.4550,59.0936] [0.8841,105.3160]
162 [0.4238,60.4402] [0.9072,105.7999]
163 [0.4332,61.4751] [0.8698,106.3799]
